mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	slur	decrescendo_hairpin	crescendo_line
6	5	29/2	29/2	0.0		3/8	3/8	Spanner	3/4	1	1	0							8		0
6	5	29/2	29/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	53				8		0
6	5	15	15	0.0		1/2	1/2	Spanner	3/4	1	1	0							8		
6	5	15	15	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	54				8		
6	5	31/2	31/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	55						
6	5	13	13	0.5		0	0	Chord	3/4	1	2	1/8	1/8	1	56	<					
6	5	27/2	27/2	0.5		1/8	1/8	Chord	3/4	1	2	1/8	1/8	1	57						
6	5	14	14	0.5		1/4	1/4	Chord	3/4	1	2	1/8	1/8	1	58						
6	5	29/2	29/2	0.5		3/8	3/8	Chord	3/4	1	2	1/8	1/8	1	59						
6	5	15	15	0.5		1/2	1/2	Chord	3/4	1	2	1/8	1/8	1	60						
6	5	31/2	31/2	0.5		5/8	5/8	Chord	3/4	1	2	1/8	1/8	1	61						
6	5	13	13	1.5		0	0	Chord	3/4	2	1	3/8	1/4	3/2	62				9		
6	5	29/2	29/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	63				9		
6	5	15	15	0.5		1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	64				9		
6	5	31/2	31/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	65						
7	6	16	16	1.5		0	0	Chord	3/4	1	1	3/8	1/4	3/2	66				10		
7	6	35/2	35/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	67				10		
7	6	18	18	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	68				10		
7	6	37/2	37/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	69						
7	6	16	16	0.5		0	0	Chord	3/4	1	2	1/8	1/8	1	70						
7	6	33/2	33/2	0.5		1/8	1/8	Chord	3/4	1	2	1/8	1/8	1	71						
7	6	17	17	0.5		1/4	1/4	Chord	3/4	1	2	1/8	1/8	1	72						
7	6	35/2	35/2	0.5		3/8	3/8	Chord	3/4	1	2	1/8	1/8	1	73						
7	6	18	18	0.5		1/2	1/2	Chord	3/4	1	2	1/8	1/8	1	74						
7	6	37/2	37/2	0.5		5/8	5/8	Chord	3/4	1	2	1/8	1/8	1	75						
7	6	16	16	2.0		0	0	Chord	3/4	2	1	1/2	1/2	1	76				11		
7	6	18	18	0.5		1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	77				11		
7	6	37/2	37/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	78						
8	7	19	19	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	79				12		
8	7	39/2	39/2	1.0		1/8	1/8	Chord	3/4	1	1	1/4	1/4	1	80				12		
8	7	41/2	41/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	81				12		
8	7	21	21	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	82				12		
8	7	43/2	43/2	0.25		5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	83				12		
8	7	87/4	87/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	84						
8	7	19	19	0.5		0	0	Chord	3/4	1	2	1/8	1/8	1	85	p					
8	7	39/2	39/2	0.5		1/8	1/8	Chord	3/4	1	2	1/8	1/8	1	86						
8	7	20	20	0.5		1/4	1/4	Chord	3/4	1	2	1/8	1/8	1	87						
8	7	41/2	41/2	0.5		3/8	3/8	Chord	3/4	1	2	1/8	1/8	1	88						
8	7	21	21	0.5		1/2	1/2	Chord	3/4	1	2	1/8	1/8	1	89						
8	7	43/2	43/2	0.5		5/8	5/8	Chord	3/4	1	2	1/8	1/8	1	90						
8	7	19	19	0.0		0	0	Dynamic	3/4	2	1	0					p				
8	7	19	19	1.5		0	0	Chord	3/4	2	1	3/8	1/4	3/2	91				13		
8	7	41/2	41/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	92				13		
8	7	21	21	0.5		1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	93				13		
8	7	43/2	43/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	94						
9	8		22	1.0	1	0	0	Chord	3/4	1	1	1/4	1/4	1	95				14		
9	8		23	0.5	1	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	96						
9	8		24	0.75	1	1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	97				15		
9	8		99/4	0.25	1	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	98						
9	8		22	0.5	1	0	0	Chord	3/4	1	2	1/8	1/8	1	99						
9	8		45/2	0.5	1	1/8	1/8	Chord	3/4	1	2	1/8	1/8	1	100						
9	8		23	0.5	1	1/4	1/4	Chord	3/4	1	2	1/8	1/8	1	101						
9	8		24	0.5	1	1/2	1/2	Chord	3/4	1	2	1/8	1/8	1	102						
9	8		49/2	0.5	1	5/8	5/8	Chord	3/4	1	2	1/8	1/8	1	103						
9	8		22	1.5	1	0	0	Chord	3/4	2	1	3/8	1/4	3/2	104				16		
9	8		47/2	0.5	1	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	105				16		
9	8		24	0.5	1	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	106				16		
9	8		49/2	0.5	1	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	107						
10	8		25	2.0	1	0	0	Chord	3/4	1	1	1/2	1/2	1	108			ornamentTurn			
10	8		27	0.75	1	1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	109				17		
10	8		111/4	0.25	1	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	110						
10	8		25	0.5	1	0	0	Chord	3/4	1	2	1/8	1/8	1	111						
10	8		25	0.5	1	0	0	Chord	3/4	2	1	1/8	1/8	1	112						
10	8		51/2	0.5	1	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	113				18		
10	8		26	0.5	1	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	114				18		
10	8		53/2	0.5	1	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	115				18		
10	8		27	0.5	1	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	116				18		
10	8		55/2	0.5	1	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	117						
10	8		26	2.0	1	1/4	1/4	Chord	3/4	2	2	1/2	1/2	1	118						
11	8	22	28	1.0	2	0	0	Chord	3/4	1	1	1/4	1/4	1	119				19		
11	8	23	29	0.5	2	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	120						
11	8	24	30	0.75	2	1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	121				20		
11	8	99/4	123/4	0.25	2	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	122						
11	8	22	28	0.5	2	0	0	Chord	3/4	1	2	1/8	1/8	1	123						
11	8	45/2	57/2	0.5	2	1/8	1/8	Chord	3/4	1	2	1/8	1/8	1	124						
11	8	23	29	0.5	2	1/4	1/4	Chord	3/4	1	2	1/8	1/8	1	125						
11	8	47/2	59/2	0.5	2	3/8	3/8	Chord	3/4	1	2	1/8	1/8	1	126						
11	8	22	28	1.0	2	0	0	Chord	3/4	2	1	1/4	1/4	1	127				21		
11	8	23	29	0.5	2	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	128						
12	9	25	31	2.0		0	0	Chord	3/4	1	1	1/2	1/2	1	129			articAccentAbove	22		
12	9	27	33	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	130				22		
12	9	55/2	67/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	131			ornamentTrill			
12	9	25	31	0.5		0	0	Chord	3/4	2	1	1/8	1/8	1	132			articStaccatoBelow			
12	9	51/2	63/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	133				23		
12	9	26	32	0.5		1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	134				23		
12	9	53/2	65/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	135				23		
12	9	27	33	0.5		1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	136				23		
12	9	55/2	67/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	137						
13	10	28	34	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	138				24		
13	10	57/2	69/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	139				24		
13	10	29	35	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	140				24		
13	10	59/2	71/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	141				24		
13	10	30	36	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	142						
13	10	61/2	73/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	143						
13	10	28	34	1.0		0	0	Chord	3/4	1	2	1/4	1/4	1	144						
13	10	29	35	1.0		1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	145						
13	10	30	36	0.5		1/2	1/2	Chord	3/4	1	2	1/8	1/8	1	146						
13	10	28	34	0.5		0	0	Chord	3/4	2	1	1/8	1/8	1	147				25		
13	10	57/2	69/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	148				25		
13	10	29	35	0.5		1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	149				25		
13	10	59/2	71/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	150				25		
13	10	30	36	0.5		1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	151				25		
13	10	61/2	73/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	152						
14	11	31	37	2.0		0	0	Chord	3/4	1	1	1/2	1/2	1	153			articAccentAbove	26		
14	11	33	39	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	154				26		
14	11	67/2	79/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	155			ornamentTrill			
14	11	31	37	0.5		0	0	Chord	3/4	2	1	1/8	1/8	1	156			articStaccatoBelow			
14	11	63/2	75/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	157				27		
14	11	32	38	0.5		1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	158				27		
14	11	65/2	77/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	159				27		
14	11	33	39	0.5		1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	160				27		
14	11	67/2	79/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	161						
15	12	34	40	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	162				28		
15	12	69/2	81/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	163				28		
15	12	35	41	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	164				28		
15	12	71/2	83/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	165				28		
15	12	36	42	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	166						
15	12	73/2	85/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	167						
15	12	34	40	1.0		0	0	Chord	3/4	1	2	1/4	1/4	1	168						
15	12	35	41	1.0		1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	169						
15	12	36	42	0.5		1/2	1/2	Chord	3/4	1	2	1/8	1/8	1	170						
15	12	34	40	0.5		0	0	Chord	3/4	2	1	1/8	1/8	1	171				29		
15	12	69/2	81/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	172				29		
15	12	35	41	0.5		1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	173				29		
15	12	71/2	83/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	174				29		
15	12	36	42	0.5		1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	175				29		
15	12	73/2	85/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	176						
16	13	37	43	1.5		0	0	Chord	3/4	1	1	3/8	1/4	3/2	177				30		
16	13	77/2	89/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	178				30		
16	13	39	45	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	179				30		
16	13	79/2	91/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	180				30		
16	13	38	44	2.0		1/4	1/4	Chord	3/4	1	2	1/2	1/2	1	181	<					
16	13	37	43	0.5		0	0	Chord	3/4	2	1	1/8	1/8	1	182						
16	13	75/2	87/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	183				31		
16	13	38	44	0.5		1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	184				31		
16	13	77/2	89/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	185				31		
16	13	39	45	0.5		1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	186				31		
16	13	79/2	91/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	187				31		
17	14	40	46	1.5		0	0	Chord	3/4	1	1	3/8	1/4	3/2	188				30		
17	14	83/2	95/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	189				30		
17	14	42	48	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	190				30		
17	14	85/2	97/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	191				30		
17	14	40	46	1.0		0	0	Chord	3/4	1	2	1/4	1/4	1	192						
17	14	41	47	1.5		1/4	1/4	Chord	3/4	1	2	3/8	1/4	3/2	193						
17	14	85/2	97/2	0.5		5/8	5/8	Chord	3/4	1	2	1/8	1/8	1	194						
17	14	40	46	0.5		0	0	Chord	3/4	2	1	1/8	1/8	1	195				31		
17	14	81/2	93/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	196				31		
17	14	41	47	0.5		1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	197				31		
17	14	83/2	95/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	198				31		
17	14	42	48	0.5		1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	199				31		
17	14	85/2	97/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	200						
18	15	43	49	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	201				30		
18	15	87/2	99/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	202				30		
18	15	44	50	1.5		1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	203				30		
18	15	91/2	103/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	204				30		
18	15	43	49	0.5		0	0	Chord	3/4	1	2	1/8	1/8	1	205	p					
18	15	87/2	99/2	0.5		1/8	1/8	Chord	3/4	1	2	1/8	1/8	1	206						
18	15	44	50	1.0		1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	207						
18	15	45	51	1.0		1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	208						
18	15	45	51	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	209				32		
18	15	43	49	0.5		0	0	Chord	3/4	2	2	1/8	1/8	1	210				33		
18	15	87/2	99/2	0.5		1/8	1/8	Chord	3/4	2	2	1/8	1/8	1	211				33		
18	15	44	50	0.5		1/4	1/4	Chord	3/4	2	2	1/8	1/8	1	212				33		
18	15	89/2	101/2	0.5		3/8	3/8	Chord	3/4	2	2	1/8	1/8	1	213				33		
18	15	45	51	0.5		1/2	1/2	Chord	3/4	2	2	1/8	1/8	1	214				33		
18	15	91/2	103/2	0.5		5/8	5/8	Chord	3/4	2	2	1/8	1/8	1	215						
19	16		52	1.0	1	0	0	Chord	3/4	1	1	1/4	1/4	1	216				30		
19	16		53	0.5	1	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	217						
19	16		52	1.0	1	0	0	Chord	3/4	1	2	1/4	1/4	1	218				34		
19	16		53	0.5	1	1/4	1/4	Chord	3/4	1	2	1/8	1/8	1	219						
19	16		54	0.75	1	1/2	1/2	Chord	3/4	1	2	3/16	1/8	3/2	220				35		
19	16		219/4	0.25	1	11/16	11/16	Chord	3/4	1	2	1/16	1/16	1	221						
19	16		52	0.5	1	0	0	Chord	3/4	2	1	1/8	1/8	1	222				32		
19	16		105/2	0.5	1	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	223						
19	16		53	0.5	1	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	224						
19	16		52	1.5	1	0	0	Chord	3/4	2	2	3/8	1/4	3/2	225						
19	16		107/2	0.5	1	3/8	3/8	Chord	3/4	2	2	1/8	1/8	1	226				36		
19	16		54	0.5	1	1/2	1/2	Chord	3/4	2	2	1/8	1/8	1	227				36		
19	16		109/2	0.5	1	5/8	5/8	Chord	3/4	2	2	1/8	1/8	1	228						
20	16	46	55	1.0	2	0	0	Chord	3/4	1	1	1/4	1/4	1	229				37		
20	16	47	56	0.5	2	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	230						
20	16	46	55	1.0	2	0	0	Chord	3/4	1	2	1/4	1/4	1	231				38		
20	16	47	56	0.5	2	1/4	1/4	Chord	3/4	1	2	1/8	1/8	1	232						
20	16	46	55	1.0	2	0	0	Chord	3/4	2	1	1/4	1/4	1	233						
20	16	47	56	0.5	2	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	234						
21	16	48	57	1.0		0	1/2	Chord	3/4	1	1	1/4	1/4	1	235	p		articStaccatoBelow			
21	16	48	57	0.0		0	1/2	Dynamic	3/4	2	1	0					p				
21	16	48	57	1.0		0	1/2	Chord	3/4	2	1	1/4	1/4	1	236			articStaccatoBelow			
22	17	49	58	0.0		0	0	Dynamic	3/4	1	1	0					p				
22	17	49	58	2.0		0	0	Chord	3/4	1	1	1/2	1/2	1	237						
22	17	51	60	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	238			articStaccatoBelow			
22	17	49	58	2.0		0	0	Chord	3/4	2	1	1/2	1/2	1	239						
22	17	51	60	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	240			articStaccatoBelow			
23	18	52	61	2.0		0	0	Chord	3/4	1	1	1/2	1/2	1	241						
23	18	54	63	0.0		1/2	1/2	Spanner	3/4	1	1	0									1
23	18	54	63	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	242	<			39		1
23	18	52	61	2.0		0	0	Chord	3/4	2	1	1/2	1/2	1	243						
23	18	54	63	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	244						
24	19	55	64	0.0		0	0	Dynamic	3/4	1	1	0					sf		39		
24	19	55	64	0.0		0	0	Spanner	3/4	1	1	0							39		
24	19	55	64	1.5		0	0	Chord	3/4	1	1	3/8	1/4	3/2	245				39		
24	19	113/2	131/2	0.0		3/8	3/8	Spanner	3/4	1	1	0								0	
24	19	113/2	131/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	246	>				0	
24	19	57	66	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	247					0	
24	19	115/2	133/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	248					0	
24	19	55	64	1.5		0	0	Chord	3/4	2	1	3/8	1/4	3/2	249						
24	19	113/2	131/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	250						
24	19	57	66	0.5		1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	251						
24	19	115/2	133/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	252						
25	20	58	67	0.0		0	0	Spanner	3/4	1	1	0									
25	20	58	67	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	253				40		
25	20	117/2	135/2	0.25		1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	254				40		
25	20	235/4	271/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	255						
25	20	59	68	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	256						
25	20	60	69	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	257			articStaccatoBelow			
25	20	58	67	0.5		0	0	Chord	3/4	1	2	1/8	1/8	1	258	p					
25	20	117/2	135/2	0.5		1/8	1/8	Chord	3/4	1	2	1/8	1/8	1	259						
25	20	58	67	0.0		0	0	Dynamic	3/4	2	1	0					p				
25	20	58	67	0.5		0	0	Chord	3/4	2	1	1/8	1/8	1	260						
25	20	117/2	135/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	261						
25	20	59	68	0.5		1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	262						
25	20	60	69	0.0		1/2	1/2	Dynamic	3/4	2	1	0					p				
25	20	60	69	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	263			articStaccatoBelow			
26	21	61	70	2.0		0	0	Chord	3/4	1	1	1/2	1/2	1	264						
26	21	63	72	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	265			articStaccatoBelow			
26	21	61	70	2.0		0	0	Chord	3/4	2	1	1/2	1/2	1	266						
26	21	63	72	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	267			articStaccatoAbove			
27	22	64	73	2.0		0	0	Chord	3/4	1	1	1/2	1/2	1	268						
27	22	66	75	0.0		1/2	1/2	Dynamic	3/4	1	1	0					f				
27	22	66	75	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	269	f		articStaccatoBelow			
27	22	64	73	2.0		0	0	Chord	3/4	2	1	1/2	1/2	1	270						
27	22	66	75	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	271			articStaccatoBelow			
28	23	67	76	0.75		0	0	Chord	3/4	1	1	3/16	1/8	3/2	272			articStaccatoBelow			
28	23	271/4	307/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	273			articStaccatoBelow			
28	23	68	77	1.0		1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	274			articStaccatoBelow			
28	23	69	78	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	275			articStaccatoBelow			
28	23	67	76	0.75		0	0	Chord	3/4	2	1	3/16	1/8	3/2	276			articStaccatoBelow			
28	23	271/4	307/4	0.25		3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	277			articStaccatoBelow			
28	23	68	77	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	278			articStaccatoBelow			
