mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_line	diminuendo_line	crescendo_hairpin
55	54	107	107	0.25	0	0	Chord	2/4	1	2	1/16		1/16	1	623									123				
55	54	429/4	429/4	0.25	1/16	1/16	Chord	2/4	1	2	1/16		1/16	1	624													
55	54	431/4	431/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16		1/16	1	625													
55	54	433/4	433/4	0.25	5/16	5/16	Chord	2/4	1	2	1/16		1/16	1	626													
55	54	435/4	435/4	0.25	7/16	7/16	Chord	2/4	1	2	1/16		1/16	1	627													
55	54	107	107	0.5	0	0	Chord	2/4	2	2	1/8		1/8	1	628									119				
55	54	215/2	215/2	0.5	1/8	1/8	Chord	2/4	2	2	1/8		1/8	1	629									119				
55	54	108	108	0.5	1/4	1/4	Chord	2/4	2	2	1/8		1/8	1	630									119				
55	54	217/2	217/2	0.5	3/8	3/8	Chord	2/4	2	2	1/8		1/8	1	631									119				
56	55	109	109	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	632									122				
56	55	219/2	219/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	633									122				
56	55	110	110	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	634									122				
56	55	221/2	221/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	635													
56	55	437/4	437/4	0.25	1/16	1/16	Chord	2/4	1	2	1/16		1/16	1	636													
56	55	219/2	219/2	0.25	1/8	1/8	Chord	2/4	1	2	1/16		1/16	1	637													
56	55	439/4	439/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16		1/16	1	638													
56	55	110	110	0.25	1/4	1/4	Chord	2/4	1	2	1/16		1/16	1	639													
56	55	441/4	441/4	0.25	5/16	5/16	Chord	2/4	1	2	1/16		1/16	1	640													
56	55	221/2	221/2	0.25	3/8	3/8	Chord	2/4	1	2	1/16		1/16	1	641													
56	55	443/4	443/4	0.25	7/16	7/16	Chord	2/4	1	2	1/16		1/16	1	642													
56	55	109	109	0.5	0	0	Chord	2/4	2	2	1/8		1/8	1	643									119				
56	55	219/2	219/2	0.5	1/8	1/8	Chord	2/4	2	2	1/8		1/8	1	644									119				
56	55	110	110	1.0	1/4	1/4	Chord	2/4	2	2	1/4		1/4	1	645									119				
57	56	111	111	0.0	0	0	StaffText	2/4	1	1	0							cresc.										
57	56	111	111	2.0	0	0	Chord	2/4	1	1	1/2		1/2	1	646									124				
57	56	111	111	0.25	0	0	Chord	2/4	1	2	1/16		1/16	1	647									125				
57	56	445/4	445/4	0.25	1/16	1/16	Chord	2/4	1	2	1/16		1/16	1	648													
57	56	447/4	447/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16		1/16	1	649													
57	56	449/4	449/4	0.25	5/16	5/16	Chord	2/4	1	2	1/16		1/16	1	650													
57	56	451/4	451/4	0.25	7/16	7/16	Chord	2/4	1	2	1/16		1/16	1	651													
57	56	111	111	0.5	0	0	Chord	2/4	2	2	1/8		1/8	1	652									119				
57	56	223/2	223/2	0.5	1/8	1/8	Chord	2/4	2	2	1/8		1/8	1	653									119				
57	56	112	112	0.5	1/4	1/4	Chord	2/4	2	2	1/8		1/8	1	654									119				
57	56	225/2	225/2	0.5	3/8	3/8	Chord	2/4	2	2	1/8		1/8	1	655									119				
58	57	113	113	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	656									124				
58	57	227/2	227/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	657									124				
58	57	114	114	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	658									124				
58	57	229/2	229/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	659													
58	57	453/4	453/4	0.25	1/16	1/16	Chord	2/4	1	2	1/16		1/16	1	660													
58	57	227/2	227/2	0.25	1/8	1/8	Chord	2/4	1	2	1/16		1/16	1	661													
58	57	455/4	455/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16		1/16	1	662													
58	57	114	114	0.25	1/4	1/4	Chord	2/4	1	2	1/16		1/16	1	663													
58	57	457/4	457/4	0.25	5/16	5/16	Chord	2/4	1	2	1/16		1/16	1	664													
58	57	229/2	229/2	0.25	3/8	3/8	Chord	2/4	1	2	1/16		1/16	1	665													
58	57	459/4	459/4	0.25	7/16	7/16	Chord	2/4	1	2	1/16		1/16	1	666													
58	57	113	113	0.5	0	0	Chord	2/4	2	2	1/8		1/8	1	667									119				
58	57	227/2	227/2	0.5	1/8	1/8	Chord	2/4	2	2	1/8		1/8	1	668									119				
58	57	114	114	0.5	1/4	1/4	Chord	2/4	2	2	1/8		1/8	1	669									119				
58	57	229/2	229/2	0.5	3/8	3/8	Chord	2/4	2	2	1/8		1/8	1	670													
59	58	115	115	0.0	0	0	Dynamic	2/4	1	1	0					p												
59	58	115	115	1.5	0	0	Chord	2/4	1	1	3/8		1/4	3/2	671									126				
59	58	233/2	233/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	672													
59	58	115	115	0.25	0	0	Chord	2/4	1	2	1/16		1/16	1	673									127				
59	58	461/4	461/4	0.25	1/16	1/16	Chord	2/4	1	2	1/16		1/16	1	674									127				
59	58	231/2	231/2	0.25	1/8	1/8	Chord	2/4	1	2	1/16		1/16	1	675									127				
59	58	463/4	463/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16		1/16	1	676									127				
59	58	116	116	0.25	1/4	1/4	Chord	2/4	1	2	1/16		1/16	1	677									127				
59	58	465/4	465/4	0.25	5/16	5/16	Chord	2/4	1	2	1/16		1/16	1	678									127				
59	58	233/2	233/2	0.25	3/8	3/8	Chord	2/4	1	2	1/16		1/16	1	679									127				
59	58	467/4	467/4	0.25	7/16	7/16	Chord	2/4	1	2	1/16		1/16	1	680													
59	58	233/2	233/2	0.5	3/8	3/8	Chord	2/4	2	2	1/8		1/8	1	681													
59	58	115	115	2.0	0	0	Chord	2/4	2	3	1/2		1/2	1	682													
60	59	117	117	1.5	0	0	Chord	2/4	1	1	3/8		1/4	3/2	683									128				
60	59	237/2	237/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	684													
60	59	117	117	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	685									129				
60	59	469/4	469/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	686									129				
60	59	235/2	235/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	687									129				
60	59	471/4	471/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	688									129				
60	59	118	118	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	689									129				
60	59	473/4	473/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	690									129				
60	59	237/2	237/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	691									129				
60	59	475/4	475/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	692													
60	59	117	117	1.5	0	0	Chord	2/4	2	2	3/8		1/4	3/2	693													
60	59	237/2	237/2	0.5	3/8	3/8	Chord	2/4	2	2	1/8		1/8	1	694													
60	59	117	117	2.0	0	0	Chord	2/4	2	3	1/2		1/2	1	695													
61	60	119	119	1.5	0	0	Chord	2/4	1	1	3/8		1/4	3/2	696													
61	60	241/2	241/2	0.0	3/8	3/8	Dynamic	2/4	1	1	0					sf												
61	60	241/2	241/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	697									130				
61	60	241/2	241/2	0.0	3/8	3/8	Dynamic	2/4	2	1	0					sf												
61	60	119	119	0.25	0	0	Chord	2/4	2	2	1/16		1/16	1	698													
61	60	477/4	477/4	0.25	1/16	1/16	Chord	2/4	2	2	1/16		1/16	1	699													
61	60	239/2	239/2	0.25	1/8	1/8	Chord	2/4	2	2	1/16		1/16	1	700													
61	60	479/4	479/4	0.25	3/16	3/16	Chord	2/4	2	2	1/16		1/16	1	701													
61	60	120	120	0.25	1/4	1/4	Chord	2/4	2	2	1/16		1/16	1	702													
61	60	481/4	481/4	0.25	5/16	5/16	Chord	2/4	2	2	1/16		1/16	1	703													
61	60	241/2	241/2	0.25	3/8	3/8	Chord	2/4	2	2	1/16		1/16	1	704													
61	60	483/4	483/4	0.25	7/16	7/16	Chord	2/4	2	2	1/16		1/16	1	705													
61	60	119	119	1.5	0	0	Chord	2/4	2	3	3/8		1/4	3/2	706													
61	60	241/2	241/2	0.5	3/8	3/8	Chord	2/4	2	3	1/8		1/8	1	707													
62	61	121	121	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	708													
62	61	243/2	243/2	0.0	1/8	1/8	Dynamic	2/4	1	1	0					sf												
62	61	243/2	243/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	709									131				
62	61	122	122	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	710													
62	61	245/2	245/2	0.0	3/8	3/8	Chord	2/4	1	1	0	grace16after	1/16	1	711													
62	61	245/2	245/2	0.0	3/8	3/8	Chord	2/4	1	1	0	grace16after	1/16	1	712													
62	61	245/2	245/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	713		ornamentTrill											
62	61	121	121	0.25	0	0	Chord	2/4	2	2	1/16		1/16	1	714													
62	61	485/4	485/4	0.25	1/16	1/16	Chord	2/4	2	2	1/16		1/16	1	715													
62	61	243/2	243/2	0.25	1/8	1/8	Chord	2/4	2	2	1/16		1/16	1	716													
62	61	487/4	487/4	0.25	3/16	3/16	Chord	2/4	2	2	1/16		1/16	1	717													
62	61	122	122	0.25	1/4	1/4	Chord	2/4	2	2	1/16		1/16	1	718													
62	61	489/4	489/4	0.25	5/16	5/16	Chord	2/4	2	2	1/16		1/16	1	719													
62	61	245/2	245/2	0.25	3/8	3/8	Chord	2/4	2	2	1/16		1/16	1	720													
62	61	491/4	491/4	0.25	7/16	7/16	Chord	2/4	2	2	1/16		1/16	1	721													
62	61	121	121	0.5	0	0	Chord	2/4	2	3	1/8		1/8	1	722													
62	61	243/2	243/2	0.0	1/8	1/8	Dynamic	2/4	2	3	0					sf												
62	61	243/2	243/2	0.5	1/8	1/8	Chord	2/4	2	3	1/8		1/8	1	723									132				
62	61	122	122	0.5	1/4	1/4	Chord	2/4	2	3	1/8		1/8	1	724													
62	61	245/2	245/2	0.5	3/8	3/8	Chord	2/4	2	3	1/8		1/8	1	725													
63	62	123	123	0.0	0	0	Dynamic	2/4	1	1	0					sf												
63	62	123	123	2.0	0	0	Chord	2/4	1	1	1/2		1/2	1	726									133				
63	62	123	123	2.0	0	0	Chord	2/4	2	2	1/2		1/2	1	727													
64	63	125	125	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	728													
64	63	125	125	0.5	0	0	Chord	2/4	2	2	1/8		1/8	1	729													
65	63	505/4	505/4	0.0	1/16	5/16	Dynamic	2/4	1	1	0					p												
65	63	505/4	505/4	0.25	1/16	5/16	Chord	2/4	1	1	1/16		1/16	1	730									134				
65	63	253/2	253/2	0.25	1/8	3/8	Chord	2/4	1	1	1/16		1/16	1	731									134				
65	63	507/4	507/4	0.25	3/16	7/16	Chord	2/4	1	1	1/16		1/16	1	732									134				
66	64	127	127	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	733									134				
66	64	509/4	509/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	734									134				
66	64	255/2	255/2	0.75	1/8	1/8	Chord	2/4	1	1	3/16		1/8	3/2	735													
66	64	513/4	513/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	736									135				
66	64	257/2	257/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	737									135				
66	64	515/4	515/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	738									135				
66	64	255/2	255/2	0.25	1/8	1/8	Chord	2/4	2	2	1/16		1/16	1	739													
66	64	511/4	511/4	0.25	3/16	3/16	Chord	2/4	2	2	1/16		1/16	1	740													
66	64	128	128	1.0	1/4	1/4	Chord	2/4	2	2	1/4		1/4	1	741													
66	64	255/2	255/2	0.5	1/8	1/8	Chord	2/4	2	3	1/8		1/8	1	742													
66	64	128	128	1.0	1/4	1/4	Chord	2/4	2	3	1/4		1/4	1	743													
66	64	511/4	511/4	0.25	3/16	3/16	Chord	2/4	2	4	1/16		1/16	1	744													
66	64	128	128	1.0	1/4	1/4	Chord	2/4	2	4	1/4		1/4	1	745													
67	65	129	129	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	746									135				
67	65	517/4	517/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	747									135				
67	65	259/2	259/2	0.75	1/8	1/8	Chord	2/4	1	1	3/16		1/8	3/2	748													
67	65	521/4	521/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	749									136				
67	65	261/2	261/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	750									136				
67	65	523/4	523/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	751									136				
67	65	259/2	259/2	0.25	1/8	1/8	Chord	2/4	2	2	1/16		1/16	1	752													
67	65	519/4	519/4	0.25	3/16	3/16	Chord	2/4	2	2	1/16		1/16	1	753													
67	65	130	130	1.0	1/4	1/4	Chord	2/4	2	2	1/4		1/4	1	754													
67	65	259/2	259/2	0.5	1/8	1/8	Chord	2/4	2	3	1/8		1/8	1	755													
67	65	130	130	1.0	1/4	1/4	Chord	2/4	2	3	1/4		1/4	1	756													
67	65	519/4	519/4	0.25	3/16	3/16	Chord	2/4	2	4	1/16		1/16	1	757													
67	65	130	130	1.0	1/4	1/4	Chord	2/4	2	4	1/4		1/4	1	758													
68	66	131	131	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	759									136				
68	66	525/4	525/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	760									136				
68	66	263/2	263/2	0.75	1/8	1/8	Chord	2/4	1	1	3/16		1/8	3/2	761													
68	66	529/4	529/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	762									137				
68	66	265/2	265/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	763									137				
68	66	531/4	531/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	764									137				
68	66	263/2	263/2	0.25	1/8	1/8	Chord	2/4	2	2	1/16		1/16	1	765													
68	66	527/4	527/4	0.25	3/16	3/16	Chord	2/4	2	2	1/16		1/16	1	766													
68	66	132	132	1.0	1/4	1/4	Chord	2/4	2	2	1/4		1/4	1	767													
68	66	263/2	263/2	0.5	1/8	1/8	Chord	2/4	2	3	1/8		1/8	1	768													
68	66	132	132	1.0	1/4	1/4	Chord	2/4	2	3	1/4		1/4	1	769													
68	66	527/4	527/4	0.25	3/16	3/16	Chord	2/4	2	4	1/16		1/16	1	770													
68	66	132	132	1.0	1/4	1/4	Chord	2/4	2	4	1/4		1/4	1	771													
69	67	133	133	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	772									137				
69	67	533/4	533/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	773									137				
69	67	267/2	267/2	0.75	1/8	1/8	Chord	2/4	1	1	3/16		1/8	3/2	774													
69	67	537/4	537/4	0.0	5/16	5/16	Dynamic	2/4	1	1	0					pp												
69	67	537/4	537/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	775									138				
69	67	269/2	269/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	776									138				
69	67	539/4	539/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	777									138				
69	67	267/2	267/2	0.25	1/8	1/8	Chord	2/4	2	2	1/16		1/16	1	778													
69	67	535/4	535/4	0.25	3/16	3/16	Chord	2/4	2	2	1/16		1/16	1	779													
69	67	134	134	1.0	1/4	1/4	Chord	2/4	2	2	1/4		1/4	1	780													
69	67	267/2	267/2	0.5	1/8	1/8	Chord	2/4	2	3	1/8		1/8	1	781													
69	67	134	134	1.0	1/4	1/4	Chord	2/4	2	3	1/4		1/4	1	782													
69	67	535/4	535/4	0.25	3/16	3/16	Chord	2/4	2	4	1/16		1/16	1	783													
69	67	134	134	1.0	1/4	1/4	Chord	2/4	2	4	1/4		1/4	1	784													
70	68	135	135	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	785		articStaccatoAbove											
70	68	545/4	545/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	786									139				
70	68	273/2	273/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	787									139				
70	68	547/4	547/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	788									139				
70	68	135	135	0.5	0	0	Chord	2/4	2	2	1/8		1/8	1	789													
70	68	271/2	271/2	0.25	1/8	1/8	Chord	2/4	2	2	1/16		1/16	1	790													
70	68	543/4	543/4	0.25	3/16	3/16	Chord	2/4	2	2	1/16		1/16	1	791													
70	68	136	136	1.0	1/4	1/4	Chord	2/4	2	2	1/4		1/4	1	792													
70	68	135	135	0.5	0	0	Chord	2/4	2	3	1/8		1/8	1	793													
70	68	271/2	271/2	0.5	1/8	1/8	Chord	2/4	2	3	1/8		1/8	1	794													
70	68	136	136	1.0	1/4	1/4	Chord	2/4	2	3	1/4		1/4	1	795													
70	68	135	135	0.5	0	0	Chord	2/4	2	4	1/8		1/8	1	796													
70	68	543/4	543/4	0.25	3/16	3/16	Chord	2/4	2	4	1/16		1/16	1	797													
70	68	136	136	1.0	1/4	1/4	Chord	2/4	2	4	1/4		1/4	1	798													
71	69	137	137	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	799		articStaccatoAbove											
71	69	553/4	553/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	800									140				
71	69	277/2	277/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	801									140				
71	69	555/4	555/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	802									140				
71	69	137	137	0.5	0	0	Chord	2/4	2	2	1/8		1/8	1	803													
71	69	275/2	275/2	0.25	1/8	1/8	Chord	2/4	2	2	1/16		1/16	1	804													
71	69	551/4	551/4	0.25	3/16	3/16	Chord	2/4	2	2	1/16		1/16	1	805													
71	69	138	138	1.0	1/4	1/4	Chord	2/4	2	2	1/4		1/4	1	806													
71	69	137	137	0.5	0	0	Chord	2/4	2	3	1/8		1/8	1	807													
71	69	275/2	275/2	0.5	1/8	1/8	Chord	2/4	2	3	1/8		1/8	1	808													
71	69	138	138	1.0	1/4	1/4	Chord	2/4	2	3	1/4		1/4	1	809													
71	69	137	137	0.5	0	0	Chord	2/4	2	4	1/8		1/8	1	810													
71	69	551/4	551/4	0.25	3/16	3/16	Chord	2/4	2	4	1/16		1/16	1	811													
71	69	138	138	1.0	1/4	1/4	Chord	2/4	2	4	1/4		1/4	1	812													
72	70	139	139	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	813		articStaccatoAbove											
72	70	279/2	279/2	0.0	1/8	1/8	Spanner	2/4	1	1	0															5		
72	70	561/4	561/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	814									141		5		
72	70	281/2	281/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	815									141		5		
72	70	563/4	563/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	816									141		5		
72	70	557/4	557/4	0.0	1/16	1/16	StaffText	2/4	2	1	0							cresc.										
72	70	139	139	0.25	0	0	Chord	2/4	2	2	1/16		1/16	1	817													
72	70	557/4	557/4	0.25	1/16	1/16	Chord	2/4	2	2	1/16		1/16	1	818									142				
72	70	279/2	279/2	0.25	1/8	1/8	Chord	2/4	2	2	1/16		1/16	1	819									142				
72	70	559/4	559/4	0.25	3/16	3/16	Chord	2/4	2	2	1/16		1/16	1	820									142				
72	70	140	140	0.25	1/4	1/4	Chord	2/4	2	2	1/16		1/16	1	821									142				
72	70	561/4	561/4	0.25	5/16	5/16	Chord	2/4	2	2	1/16		1/16	1	822									142				
72	70	281/2	281/2	0.5	3/8	3/8	Chord	2/4	2	2	1/8		1/8	1	823									142				
72	70	139	139	0.25	0	0	Chord	2/4	2	3	1/16		1/16	1	824													
72	70	139	139	0.25	0	0	Chord	2/4	2	4	1/16		1/16	1	825													
73	71	141	141	0.0	0	0	Spanner	2/4	1	1	0													141				
73	71	141	141	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	826									141				
73	71	565/4	565/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	827									141				
73	71	283/2	283/2	0.75	1/8	1/8	Chord	2/4	1	1	3/16		1/8	3/2	828													
73	71	569/4	569/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	829									143				
73	71	285/2	285/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	830									143				
73	71	571/4	571/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	831									143				
73	71	141	141	0.25	0	0	Chord	2/4	2	2	1/16		1/16	1	832													
73	71	565/4	565/4	0.25	1/16	1/16	Chord	2/4	2	2	1/16		1/16	1	833									144				
73	71	283/2	283/2	0.25	1/8	1/8	Chord	2/4	2	2	1/16		1/16	1	834									144				
73	71	567/4	567/4	0.25	3/16	3/16	Chord	2/4	2	2	1/16		1/16	1	835									144				
73	71	142	142	0.25	1/4	1/4	Chord	2/4	2	2	1/16		1/16	1	836									144				
73	71	569/4	569/4	0.25	5/16	5/16	Chord	2/4	2	2	1/16		1/16	1	837									144				
73	71	285/2	285/2	0.5	3/8	3/8	Chord	2/4	2	2	1/8		1/8	1	838									144				
74	72	143	143	0.0	0	0	Dynamic	2/4	1	1	0					f								143				
74	72	143	143	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	839									143				
74	72	573/4	573/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	840									143				
74	72	287/2	287/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	841													
74	72	143	143	0.25	0	0	Chord	2/4	2	2	1/16		1/16	1	842													
74	72	573/4	573/4	0.25	1/16	1/16	Chord	2/4	2	2	1/16		1/16	1	843									145				
74	72	287/2	287/2	0.25	1/8	1/8	Chord	2/4	2	2	1/16		1/16	1	844									145				
74	72	575/4	575/4	0.25	3/16	3/16	Chord	2/4	2	2	1/16		1/16	1	845									145				
74	72	144	144	0.25	1/4	1/4	Chord	2/4	2	2	1/16		1/16	1	846									145				
74	72	577/4	577/4	0.25	5/16	5/16	Chord	2/4	2	2	1/16		1/16	1	847									145				
74	72	289/2	289/2	0.25	3/8	3/8	Chord	2/4	2	2	1/16		1/16	1	848									145				
74	72	579/4	579/4	0.25	7/16	7/16	Chord	2/4	2	2	1/16		1/16	1	849													
75	73	145	145	0.25	0	0	Chord	2/4	2	2	1/16		1/16	1	850									146				
75	73	581/4	581/4	0.25	1/16	1/16	Chord	2/4	2	2	1/16		1/16	1	851									146				
75	73	291/2	291/2	0.25	1/8	1/8	Chord	2/4	2	2	1/16		1/16	1	852									146				
75	73	583/4	583/4	0.25	3/16	3/16	Chord	2/4	2	2	1/16		1/16	1	853									146				
75	73	146	146	0.25	1/4	1/4	Chord	2/4	2	2	1/16		1/16	1	854									146				
75	73	585/4	585/4	0.25	5/16	5/16	Chord	2/4	2	2	1/16		1/16	1	855									146				
75	73	293/2	293/2	0.25	3/8	3/8	Chord	2/4	2	2	1/16		1/16	1	856									146				
75	73	587/4	587/4	0.25	7/16	7/16	Chord	2/4	2	2	1/16		1/16	1	857													
76	74	147	147	0.0	0	0	Dynamic	2/4	1	1	0					p												
76	74	147	147	0.75	0	0	Chord	2/4	1	1	3/16		1/8	3/2	858									147				
76	74	591/4	591/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	859													
76	74	148	148	0.75	1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	860									148				
76	74	595/4	595/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	861													
76	74	589/4	589/4	0.25	1/16	1/16	Chord	2/4	2	2	1/16		1/16	1	862									149				
76	74	295/2	295/2	0.25	1/8	1/8	Chord	2/4	2	2	1/16		1/16	1	863													
76	74	593/4	593/4	0.25	5/16	5/16	Chord	2/4	2	2	1/16		1/16	1	864									150				
76	74	297/2	297/2	0.25	3/8	3/8	Chord	2/4	2	2	1/16		1/16	1	865													
77	75	149	149	0.75	0	0	Chord	2/4	1	1	3/16		1/8	3/2	866									151				
77	75	599/4	599/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	867													
77	75	150	150	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	868									152				
77	75	601/4	601/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	869													
77	75	301/2	301/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	870									153				
77	75	603/4	603/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	871													
77	75	597/4	597/4	0.25	1/16	1/16	Chord	2/4	2	2	1/16		1/16	1	872									154				
77	75	299/2	299/2	0.25	1/8	1/8	Chord	2/4	2	2	1/16		1/16	1	873													
78	76	151	151	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	874									155				
78	76	605/4	605/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	875													
78	76	303/2	303/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	876									156				
78	76	607/4	607/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	877													
78	76	152	152	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	878									157				
78	76	609/4	609/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	879													
78	76	305/2	305/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	880									158				
78	76	611/4	611/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	881													
79	77	153	153	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	882									159				
79	77	154	154	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	883													
79	77	307/2	307/2	0.5	1/8	1/8	Chord	2/4	2	2	1/8		1/8	1	884		articStaccatoBelow											
79	77	154	154	0.5	1/4	1/4	Chord	2/4	2	2	1/8		1/8	1	885		articStaccatoBelow											
79	77	309/2	309/2	0.5	3/8	3/8	Chord	2/4	2	2	1/8		1/8	1	886		articStaccatoBelow											
80	78	155	155	0.75	0	0	Chord	2/4	1	1	3/16		1/8	3/2	887									160				
80	78	623/4	623/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	888													
80	78	156	156	0.75	1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	889									161				
80	78	627/4	627/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	890													
80	78	621/4	621/4	0.25	1/16	1/16	Chord	2/4	2	2	1/16		1/16	1	891									162				
80	78	311/2	311/2	0.25	1/8	1/8	Chord	2/4	2	2	1/16		1/16	1	892													
80	78	625/4	625/4	0.25	5/16	5/16	Chord	2/4	2	2	1/16		1/16	1	893									163				
80	78	313/2	313/2	0.25	3/8	3/8	Chord	2/4	2	2	1/16		1/16	1	894													
81	79	157	157	0.0	0	0	StaffText	2/4	1	1	0							dim.										
81	79	157	157	0.0	0	0	Spanner	2/4	1	1	0																0	
81	79	157	157	0.75	0	0	Chord	2/4	1	1	3/16		1/8	3/2	895									164			0	
81	79	631/4	631/4	0.0	3/16	3/16	Spanner	2/4	1	1	0																	
