mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	Ottava:8va	crescendo_hairpin	crescendo_line	diminuendo_line	decrescendo_hairpin
17	16	46	46	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	130															
17	16	48	48	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	131															
18	17	49	49	0.0	0	0	Dynamic	3/4	1	1	0				f														
18	17	49	49	0.0	0	0	Spanner	3/4	1	1	0																		
18	17	49	49	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	132								54							
18	17	50	50	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	133															
18	17	51	51	0.0	1/2	1/2	Spanner	3/4	1	1	0																		12
18	17	51	51	0.75	1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	134								55							12
18	17	207/4	207/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	135															12
18	17	49	49	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	136															
18	17	51	51	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	137															
19	18	52	52	0.0	0	0	Spanner	3/4	1	1	0																		
19	18	52	52	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	138								56							
19	18	53	53	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	139															
19	18	54	54	0.0	1/2	1/2	Dynamic	3/4	1	1	0				p														
19	18	54	54	0.75	1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	140								57							
19	18	219/4	219/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	141															
19	18	52	52	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	142															
19	18	54	54	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	143															
20	19	55	55	0.0	0	0	Spanner	3/4	1	1	0																	0	
20	19	55	55	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	144								58						0	
20	19	57	57	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	145								58						0	
20	19	55	55	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	146															
20	19	56	56	2.0	1/4	1/4	Chord	3/4	2	1	1/2	1/2	1	147								59							
21	20	58	58	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	148								58						0	
21	20	59	59	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	149								58						0	
21	20	60	60	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	150								58						0	
21	20	58	58	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	151								59							
21	20	59	59	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	152								59							
21	20	60	60	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	153								59							
22	21	61	61	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	154								58						0	
22	21	62	62	0.0	1/4	1/4	Dynamic	3/4	1	1	0				pp							58							
22	21	62	62	0.0	1/4	1/4	Spanner	3/4	1	1	0											58							
22	21	62	62	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	155								58							
22	21	63	63	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	156								58							
22	21	61	61	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	157															
22	21	63	63	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	158															
23	22	64	64	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	159								58							
23	22	65	65	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	160															
23	22	64	64	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	161															
23	22	64	64	2.0	0	0	Chord	3/4	2	3	1/2	1/2	1	162															
24	23	68	68	0.0	1/4	1/4	Dynamic	3/4	1	1	0				pp														
24	23	69	69	0.75	1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	163								60							
24	23	279/4	279/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	164															
25	24	70	70	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	165								61							
25	24	71	71	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	166															
25	24	72	72	0.75	1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	167								62							
25	24	291/4	291/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	168															
25	24	72	72	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	169															
25	24	72	72	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	170															
25	24	72	72	0.75	1/2	1/2	Chord	3/4	2	2	3/16	1/8	3/2	171								63							
25	24	291/4	291/4	0.25	11/16	11/16	Chord	3/4	2	2	1/16	1/16	1	172															
26	25	73	73	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	173								64							
26	25	74	74	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	174															
26	25	75	75	0.0	1/2	1/2	Dynamic	3/4	1	1	0				pp														
26	25	75	75	0.75	1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	175								65							
26	25	303/4	303/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	176															
26	25	73	73	1.5	0	0	Chord	3/4	1	2	3/8	1/4	3/2	177															
26	25	73	73	1.5	0	0	Chord	3/4	2	1	3/8	1/4	3/2	178															
26	25	75	75	0.75	1/2	1/2	Chord	3/4	2	1	3/16	1/8	3/2	179								66							
26	25	303/4	303/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16	1/16	1	180															
26	25	73	73	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	181								67							
26	25	74	74	0.5	1/4	1/4	Chord	3/4	2	2	1/8	1/8	1	182															
27	26	76	76	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	183								68							
27	26	77	77	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	184															
27	26	78	78	0.0	1/2	1/2	Spanner	3/4	1	1	0																2		
27	26	78	78	0.75	1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	185								69					2		
27	26	315/4	315/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	186													2		
27	26	76	76	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	187								70							
27	26	77	77	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	188															
27	26	78	78	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	189															
28	27	79	79	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	190								71					2		
28	27	80	80	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	191													2		
28	27	81	81	0.75	1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	192								72					2		
28	27	327/4	327/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	193													2		
28	27	79	79	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	194															
28	27	81	81	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	195															
29	28	82	82	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	196								73					2		
29	28	83	83	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	197													2		
29	28	84	84	0.0	1/2	1/2	Dynamic	3/4	1	1	0				f														
29	28	84	84	0.0	1/2	1/2	Spanner	3/4	1	1	0																		
29	28	84	84	0.75	1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	198								74							
29	28	339/4	339/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	199															
29	28	82	82	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	200															
29	28	84	84	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	201															
30	29	85	85	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	202								75							
30	29	86	86	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	203															
30	29	87	87	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	204															
30	29	85	85	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	205															
30	29	86	86	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	206															
30	29	87	87	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	207															
31	30	88	88	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	208															
31	30	90	90	0.0	1/2	1/2	Spanner	3/4	1	1	0																		13
31	30	90	90	0.75	1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	209								76							13
31	30	363/4	363/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	210															13
31	30	88	88	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	211															
31	30	90	90	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	212															
32	31	91	91	0.0	0	0	Dynamic	3/4	1	1	0				f														
32	31	91	91	0.0	0	0	Dynamic	3/4	1	1	0				f														
32	31	91	91	0.0	0	0	Spanner	3/4	1	1	0																		
32	31	91	91	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	213								77							
32	31	92	92	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	214															
32	31	93	93	0.0	1/2	1/2	Spanner	3/4	1	1	0																		14
