mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	diminuendo_line	crescendo_line
3	3	9	9	0.375		1/4	1/4	Chord	4/4	2	1	3/32		1/16	3/2	41												
3	3	75/8	75/8	0.125		11/32	11/32	Chord	4/4	2	1	1/32		1/32	1	42												
3	3	19/2	19/2	0.375		3/8	3/8	Chord	4/4	2	1	3/32		1/16	3/2	43												
3	3	79/8	79/8	0.125		15/32	15/32	Chord	4/4	2	1	1/32		1/32	1	44												
3	3	10	10	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	45									4			
3	3	11	11	0.25		3/4	3/4	Chord	4/4	2	1	1/16		1/16	1	46			articStaccatoAbove									
3	3	91/8	91/8	0.125		27/32	27/32	Chord	4/4	2	1	1/32		1/32	1	47												
3	3	23/2	23/2	0.375		7/8	7/8	Chord	4/4	2	1	3/32		1/16	3/2	48												
3	3	95/8	95/8	0.125		31/32	31/32	Chord	4/4	2	1	1/32		1/32	1	49												
4	4	12	12	0.0		0	0	Dynamic	4/4	1	1	0						sf										
4	4	12	12	0.0		0	0	Spanner	4/4	1	1	0														0		
4	4	12	12	1.0		0	0	Chord	4/4	1	1	1/4		1/4	1	50									5	0		
4	4	13	13	0.0		1/4	1/4	Dynamic	4/4	1	1	0						p							5			
4	4	13	13	0.0		1/4	1/4	Spanner	4/4	1	1	0													5			
4	4	13	13	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	51	p								5			
4	4	27/2	27/2	0.0		3/8	3/8	Spanner	4/4	1	1	0													5			0
4	4	27/2	27/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	52									5			0
4	4	14	14	0.0		1/2	1/2	Spanner	4/4	1	1	0																
4	4	14	14	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	53			articStaccatoAbove									
4	4	29/2	29/2	0.0		5/8	5/8	Dynamic	4/4	1	1	0						sf										
4	4	29/2	29/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	54												
4	4	15	15	0.125		3/4	3/4	Chord	4/4	1	1	1/32		1/32	1	55												
4	4	121/8	121/8	0.041666666666666664		25/32	25/32	Chord	4/4	1	1	1/96		1/64	2/3	56									6			
4	4	91/6	91/6	0.041666666666666664		19/24	19/24	Chord	4/4	1	1	1/96		1/64	2/3	57									6			
4	4	365/24	365/24	0.041666666666666664		77/96	77/96	Chord	4/4	1	1	1/96		1/64	2/3	58									6			
4	4	61/4	61/4	0.041666666666666664		13/16	13/16	Chord	4/4	1	1	1/96		1/64	2/3	59									6			
4	4	367/24	367/24	0.041666666666666664		79/96	79/96	Chord	4/4	1	1	1/96		1/64	2/3	60									6			
4	4	46/3	46/3	0.041666666666666664		5/6	5/6	Chord	4/4	1	1	1/96		1/64	2/3	61									6			
4	4	123/8	123/8	0.0625		27/32	27/32	Chord	4/4	1	1	1/64		1/64	1	62									6			
4	4	247/16	247/16	0.0625		55/64	55/64	Chord	4/4	1	1	1/64		1/64	1	63									6			
4	4	31/2	31/2	0.0625		7/8	7/8	Chord	4/4	1	1	1/64		1/64	1	64									6			
4	4	249/16	249/16	0.0625		57/64	57/64	Chord	4/4	1	1	1/64		1/64	1	65									6			
4	4	125/8	125/8	0.041666666666666664		29/32	29/32	Chord	4/4	1	1	1/96		1/64	2/3	66									6			
4	4	47/3	47/3	0.041666666666666664		11/12	11/12	Chord	4/4	1	1	1/96		1/64	2/3	67									6			
4	4	377/24	377/24	0.041666666666666664		89/96	89/96	Chord	4/4	1	1	1/96		1/64	2/3	68									6			
4	4	63/4	63/4	0.041666666666666664		15/16	15/16	Chord	4/4	1	1	1/96		1/64	2/3	69									6			
4	4	379/24	379/24	0.041666666666666664		91/96	91/96	Chord	4/4	1	1	1/96		1/64	2/3	70									6			
4	4	95/6	95/6	0.041666666666666664		23/24	23/24	Chord	4/4	1	1	1/96		1/64	2/3	71									6			
4	4	127/8	127/8	0.041666666666666664		31/32	31/32	Chord	4/4	1	1	1/96		1/64	2/3	72									6			
4	4	191/12	191/12	0.041666666666666664		47/48	47/48	Chord	4/4	1	1	1/96		1/64	2/3	73									6			
4	4	383/24	383/24	0.041666666666666664		95/96	95/96	Chord	4/4	1	1	1/96		1/64	2/3	74												
4	4	12	12	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	75									7			
4	4	13	13	0.5		1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	76									7			
4	4	27/2	27/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	77									7			
4	4	14	14	0.5		1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	78			articStaccatoAbove									
4	4	15	15	0.0		3/4	3/4	Dynamic	4/4	2	1	0						sf										
4	4	15	15	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	79												
5	5	16	16	0.0		0	0	Dynamic	4/4	1	1	0						p										
5	5	16	16	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	80	p		articStaccatoBelow									
5	5	33/2	33/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	81												
5	5	17	17	0.375		1/4	1/4	Chord	4/4	1	1	3/32		1/16	3/2	82												
5	5	139/8	139/8	0.125		11/32	11/32	Chord	4/4	1	1	1/32		1/32	1	83												
5	5	35/2	35/2	0.375		3/8	3/8	Chord	4/4	1	1	3/32		1/16	3/2	84												
5	5	143/8	143/8	0.125		15/32	15/32	Chord	4/4	1	1	1/32		1/32	1	85												
5	5	18	18	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	86									8			
5	5	37/2	37/2	0.25		5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	87												
5	5	151/8	151/8	0.0		23/32	23/32	Dynamic	4/4	1	1	0						ff										
5	5	151/8	151/8	0.125		23/32	23/32	Chord	4/4	1	1	1/32		1/32	1	88	ff											
5	5	19	19	0.375		3/4	3/4	Chord	4/4	1	1	3/32		1/16	3/2	89												
5	5	155/8	155/8	0.125		27/32	27/32	Chord	4/4	1	1	1/32		1/32	1	90												
5	5	39/2	39/2	0.375		7/8	7/8	Chord	4/4	1	1	3/32		1/16	3/2	91												
5	5	159/8	159/8	0.125		31/32	31/32	Chord	4/4	1	1	1/32		1/32	1	92												
5	5	16	16	0.25		0	0	Chord	4/4	2	1	1/16		1/16	1	93												
5	5	65/4	65/4	0.25		1/16	1/16	Chord	4/4	2	1	1/16		1/16	1	94												
5	5	33/2	33/2	0.25		1/8	1/8	Chord	4/4	2	1	1/16		1/16	1	95												
5	5	67/4	67/4	0.25		3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	96												
5	5	17	17	0.25		1/4	1/4	Chord	4/4	2	1	1/16		1/16	1	97												
5	5	69/4	69/4	0.25		5/16	5/16	Chord	4/4	2	1	1/16		1/16	1	98												
5	5	35/2	35/2	0.25		3/8	3/8	Chord	4/4	2	1	1/16		1/16	1	99												
5	5	71/4	71/4	0.25		7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	100												
5	5	18	18	0.25		1/2	1/2	Chord	4/4	2	1	1/16		1/16	1	101												
5	5	73/4	73/4	0.25		9/16	9/16	Chord	4/4	2	1	1/16		1/16	1	102												
5	5	37/2	37/2	0.25		5/8	5/8	Chord	4/4	2	1	1/16		1/16	1	103												
5	5	75/4	75/4	0.25		11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	104												
5	5	19	19	0.25		3/4	3/4	Chord	4/4	2	1	1/16		1/16	1	105												
5	5	77/4	77/4	0.25		13/16	13/16	Chord	4/4	2	1	1/16		1/16	1	106												
5	5	39/2	39/2	0.25		7/8	7/8	Chord	4/4	2	1	1/16		1/16	1	107												
5	5	79/4	79/4	0.25		15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	108												
6	6	20	20	0.0		0	0	Dynamic	4/4	1	1	0						p										
6	6	20	20	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	109	p											
6	6	41/2	41/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	110												
6	6	21	21	0.375		1/4	1/4	Chord	4/4	1	1	3/32		1/16	3/2	111												
6	6	171/8	171/8	0.125		11/32	11/32	Chord	4/4	1	1	1/32		1/32	1	112												
6	6	43/2	43/2	0.375		3/8	3/8	Chord	4/4	1	1	3/32		1/16	3/2	113												
6	6	175/8	175/8	0.125		15/32	15/32	Chord	4/4	1	1	1/32		1/32	1	114												
6	6	22	22	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	115									9			
6	6	45/2	45/2	0.25		5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	116												
6	6	183/8	183/8	0.125		23/32	23/32	Chord	4/4	1	1	1/32		1/32	1	117	ff											
6	6	23	23	0.375		3/4	3/4	Chord	4/4	1	1	3/32		1/16	3/2	118												
6	6	187/8	187/8	0.125		27/32	27/32	Chord	4/4	1	1	1/32		1/32	1	119												
6	6	47/2	47/2	0.375		7/8	7/8	Chord	4/4	1	1	3/32		1/16	3/2	120												
6	6	191/8	191/8	0.125		31/32	31/32	Chord	4/4	1	1	1/32		1/32	1	121												
6	6	20	20	0.25		0	0	Chord	4/4	2	1	1/16		1/16	1	122												
6	6	81/4	81/4	0.25		1/16	1/16	Chord	4/4	2	1	1/16		1/16	1	123												
6	6	41/2	41/2	0.25		1/8	1/8	Chord	4/4	2	1	1/16		1/16	1	124												
6	6	83/4	83/4	0.25		3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	125												
6	6	21	21	0.25		1/4	1/4	Chord	4/4	2	1	1/16		1/16	1	126												
6	6	85/4	85/4	0.25		5/16	5/16	Chord	4/4	2	1	1/16		1/16	1	127												
6	6	43/2	43/2	0.25		3/8	3/8	Chord	4/4	2	1	1/16		1/16	1	128												
6	6	87/4	87/4	0.25		7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	129												
6	6	22	22	0.25		1/2	1/2	Chord	4/4	2	1	1/16		1/16	1	130												
6	6	89/4	89/4	0.25		9/16	9/16	Chord	4/4	2	1	1/16		1/16	1	131												
6	6	45/2	45/2	0.25		5/8	5/8	Chord	4/4	2	1	1/16		1/16	1	132												
6	6	91/4	91/4	0.25		11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	133												
6	6	23	23	0.0		3/4	3/4	Dynamic	4/4	2	1	0						ff										
6	6	23	23	0.25		3/4	3/4	Chord	4/4	2	1	1/16		1/16	1	134												
6	6	93/4	93/4	0.25		13/16	13/16	Chord	4/4	2	1	1/16		1/16	1	135												
6	6	47/2	47/2	0.25		7/8	7/8	Chord	4/4	2	1	1/16		1/16	1	136												
6	6	95/4	95/4	0.25		15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	137												
7	7	24	24	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	138												
7	7	49/2	49/2	0.0		1/8	1/8	Dynamic	4/4	1	1	0						p										
7	7	49/2	49/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	139	p											
7	7	25	25	0.375		1/4	1/4	Chord	4/4	1	1	3/32		1/16	3/2	140												
7	7	203/8	203/8	0.125		11/32	11/32	Chord	4/4	1	1	1/32		1/32	1	141												
7	7	51/2	51/2	0.375		3/8	3/8	Chord	4/4	1	1	3/32		1/16	3/2	142												
7	7	207/8	207/8	0.125		15/32	15/32	Chord	4/4	1	1	1/32		1/32	1	143												
7	7	26	26	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	144									10			
7	7	53/2	53/2	0.25		5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	145												
7	7	55/2	55/2	0.375		7/8	7/8	Chord	4/4	1	1	3/32		1/16	3/2	146												
7	7	223/8	223/8	0.125		31/32	31/32	Chord	4/4	1	1	1/32		1/32	1	147												
7	7	24	24	0.25		0	0	Chord	4/4	2	1	1/16		1/16	1	148												
7	7	97/4	97/4	0.25		1/16	1/16	Chord	4/4	2	1	1/16		1/16	1	149												
7	7	49/2	49/2	0.25		1/8	1/8	Chord	4/4	2	1	1/16		1/16	1	150												
7	7	99/4	99/4	0.25		3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	151												
7	7	25	25	0.25		1/4	1/4	Chord	4/4	2	1	1/16		1/16	1	152												
7	7	101/4	101/4	0.25		5/16	5/16	Chord	4/4	2	1	1/16		1/16	1	153												
7	7	51/2	51/2	0.25		3/8	3/8	Chord	4/4	2	1	1/16		1/16	1	154												
7	7	103/4	103/4	0.25		7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	155												
7	7	26	26	0.25		1/2	1/2	Chord	4/4	2	1	1/16		1/16	1	156												
7	7	105/4	105/4	0.25		9/16	9/16	Chord	4/4	2	1	1/16		1/16	1	157												
7	7	53/2	53/2	0.25		5/8	5/8	Chord	4/4	2	1	1/16		1/16	1	158												
7	7	107/4	107/4	0.25		11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	159												
7	7	27	27	0.25		3/4	3/4	Chord	4/4	2	1	1/16		1/16	1	160												
7	7	109/4	109/4	0.25		13/16	13/16	Chord	4/4	2	1	1/16		1/16	1	161												
7	7	55/2	55/2	0.25		7/8	7/8	Chord	4/4	2	1	1/16		1/16	1	162												
7	7	111/4	111/4	0.25		15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	163												
8	8	28	28	0.0		0	0	Spanner	4/4	1	1	0																1
8	8	28	28	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	164									11			1
8	8	57/2	57/2	0.0		1/8	1/8	Spanner	4/4	1	1	0																
8	8	57/2	57/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	165												
8	8	59/2	59/2	0.375		3/8	3/8	Chord	4/4	1	1	3/32		1/16	3/2	166												
8	8	239/8	239/8	0.125		15/32	15/32	Chord	4/4	1	1	1/32		1/32	1	167												
8	8	30	30	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	168									12			
8	8	61/2	61/2	1.0		5/8	5/8	Chord	4/4	1	1	1/4		1/4	1	169												
8	8	63/2	63/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	170												
8	8	28	28	0.25		0	0	Chord	4/4	2	1	1/16		1/16	1	171												
8	8	113/4	113/4	0.25		1/16	1/16	Chord	4/4	2	1	1/16		1/16	1	172												
8	8	57/2	57/2	0.25		1/8	1/8	Chord	4/4	2	1	1/16		1/16	1	173												
8	8	115/4	115/4	0.25		3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	174												
8	8	29	29	0.25		1/4	1/4	Chord	4/4	2	1	1/16		1/16	1	175												
8	8	117/4	117/4	0.25		5/16	5/16	Chord	4/4	2	1	1/16		1/16	1	176												
8	8	59/2	59/2	0.25		3/8	3/8	Chord	4/4	2	1	1/16		1/16	1	177												
8	8	119/4	119/4	0.25		7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	178												
8	8	30	30	0.25		1/2	1/2	Chord	4/4	2	1	1/16		1/16	1	179												
8	8	121/4	121/4	0.25		9/16	9/16	Chord	4/4	2	1	1/16		1/16	1	180												
8	8	61/2	61/2	0.25		5/8	5/8	Chord	4/4	2	1	1/16		1/16	1	181												
8	8	123/4	123/4	0.25		11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	182												
8	8	31	31	0.25		3/4	3/4	Chord	4/4	2	1	1/16		1/16	1	183												
8	8	125/4	125/4	0.25		13/16	13/16	Chord	4/4	2	1	1/16		1/16	1	184												
8	8	63/2	63/2	0.25		7/8	7/8	Chord	4/4	2	1	1/16		1/16	1	185												
8	8	127/4	127/4	0.25		15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	186												
9	9	32	32	0.0		0	0	Dynamic	4/4	1	1	0						sfp										
9	9	32	32	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	187									13			
9	9	65/2	65/2	0.125		1/8	1/8	Chord	4/4	1	1	1/32		1/32	1	188									13			
9	9	261/8	261/8	0.0625		5/32	5/32	Chord	4/4	1	1	1/64		1/64	1	189									13			
9	9	523/16	523/16	0.0625		11/64	11/64	Chord	4/4	1	1	1/64		1/64	1	190									13			
9	9	131/4	131/4	0.0625		3/16	3/16	Chord	4/4	1	1	1/64		1/64	1	191									13			
9	9	525/16	525/16	0.0625		13/64	13/64	Chord	4/4	1	1	1/64		1/64	1	192									13			
9	9	263/8	263/8	0.0625		7/32	7/32	Chord	4/4	1	1	1/64		1/64	1	193									13			
9	9	527/16	527/16	0.0625		15/64	15/64	Chord	4/4	1	1	1/64		1/64	1	194												
9	9	33	33	0.25		1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	195			articStaccatoAbove						14			
9	9	133/4	133/4	0.25		5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	196			articStaccatoAbove						14			
9	9	67/2	67/2	0.25		3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	197			articStaccatoAbove						14			
9	9	135/4	135/4	0.25		7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	198			articStaccatoAbove									
9	9	34	34	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	199												
9	9	32	32	0.5		0	0	Chord	4/4	2	1	1/8		1/8	1	200												
9	9	67/2	67/2	0.25		3/8	3/8	Chord	4/4	2	1	1/16		1/16	1	201			articStaccatoAbove						15			
9	9	135/4	135/4	0.25		7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	202			articStaccatoAbove									
9	9	34	34	0.5		1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	203												
10	10	36	36	0.0		0	0	Dynamic	4/4	1	1	0						p										
10	10	36	36	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	204	p								16			
10	10	73/2	73/2	0.125		1/8	1/8	Chord	4/4	1	1	1/32		1/32	1	205									16			
10	10	293/8	293/8	0.0625		5/32	5/32	Chord	4/4	1	1	1/64		1/64	1	206									16			
10	10	587/16	587/16	0.0625		11/64	11/64	Chord	4/4	1	1	1/64		1/64	1	207									16			
10	10	147/4	147/4	0.041666666666666664		3/16	3/16	Chord	4/4	1	1	1/96		1/64	2/3	208									16			
10	10	883/24	883/24	0.041666666666666664		19/96	19/96	Chord	4/4	1	1	1/96		1/64	2/3	209									16			
10	10	221/6	221/6	0.041666666666666664		5/24	5/24	Chord	4/4	1	1	1/96		1/64	2/3	210									16			
10	10	295/8	295/8	0.041666666666666664		7/32	7/32	Chord	4/4	1	1	1/96		1/64	2/3	211									16			
10	10	443/12	443/12	0.041666666666666664		11/48	11/48	Chord	4/4	1	1	1/96		1/64	2/3	212									16			
10	10	887/24	887/24	0.041666666666666664		23/96	23/96	Chord	4/4	1	1	1/96		1/64	2/3	213												
10	10	37	37	0.25		1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	214			articStaccatoAbove						17			
10	10	149/4	149/4	0.25		5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	215			articStaccatoAbove						17			
10	10	75/2	75/2	0.25		3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	216			articStaccatoAbove						17			
10	10	151/4	151/4	0.25		7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	217			articStaccatoAbove									
10	10	75/2	75/2	0.25		3/8	3/8	Chord	4/4	2	1	1/16		1/16	1	218			articStaccatoAbove									
10	10	151/4	151/4	0.25		7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	219			articStaccatoAbove									
11	10	38	38	0.25		0	1/2	Chord	4/4	1	1	1/16		1/16	1	220									18			
11	10	153/4	153/4	0.25		1/16	9/16	Chord	4/4	1	1	1/16		1/16	1	221									18			
11	10	77/2	77/2	0.041666666666666664		1/8	5/8	Chord	4/4	1	1	1/96		1/64	2/3	222									18			
11	10	925/24	925/24	0.041666666666666664		13/96	61/96	Chord	4/4	1	1	1/96		1/64	2/3	223									18			
11	10	463/12	463/12	0.041666666666666664		7/48	31/48	Chord	4/4	1	1	1/96		1/64	2/3	224									18			
11	10	309/8	309/8	0.041666666666666664		5/32	21/32	Chord	4/4	1	1	1/96		1/64	2/3	225									18			
11	10	116/3	116/3	0.041666666666666664		1/6	2/3	Chord	4/4	1	1	1/96		1/64	2/3	226									18			
11	10	929/24	929/24	0.041666666666666664		17/96	65/96	Chord	4/4	1	1	1/96		1/64	2/3	227									18			
11	10	155/4	155/4	0.03571428571428571		3/16	11/16	Chord	4/4	1	1	1/112		1/64	4/7	228									18			
11	10	543/14	543/14	0.03571428571428571		11/56	39/56	Chord	4/4	1	1	1/112		1/64	4/7	229									18			
11	10	1087/28	1087/28	0.03571428571428571		23/112	79/112	Chord	4/4	1	1	1/112		1/64	4/7	230									18			
11	10	272/7	272/7	0.03571428571428571		3/14	5/7	Chord	4/4	1	1	1/112		1/64	4/7	231									18			
11	10	1089/28	1089/28	0.03571428571428571		25/112	81/112	Chord	4/4	1	1	1/112		1/64	4/7	232									18			
11	10	545/14	545/14	0.03571428571428571		13/56	41/56	Chord	4/4	1	1	1/112		1/64	4/7	233									18			
11	10	1091/28	1091/28	0.03571428571428571		27/112	83/112	Chord	4/4	1	1	1/112		1/64	4/7	234									18			
11	10	39	39	0.03125		1/4	3/4	Chord	4/4	1	1	1/128		1/128	1	235									18			
11	10	1249/32	1249/32	0.03125		33/128	97/128	Chord	4/4	1	1	1/128		1/128	1	236									18			
11	10	625/16	625/16	0.03125		17/64	49/64	Chord	4/4	1	1	1/128		1/128	1	237									18			
11	10	1251/32	1251/32	0.03125		35/128	99/128	Chord	4/4	1	1	1/128		1/128	1	238									18			
11	10	313/8	313/8	0.03125		9/32	25/32	Chord	4/4	1	1	1/128		1/128	1	239									18			
11	10	1253/32	1253/32	0.03125		37/128	101/128	Chord	4/4	1	1	1/128		1/128	1	240									18			
11	10	627/16	627/16	0.03125		19/64	51/64	Chord	4/4	1	1	1/128		1/128	1	241									18			
11	10	1255/32	1255/32	0.03125		39/128	103/128	Chord	4/4	1	1	1/128		1/128	1	242									18			
11	10	157/4	157/4	0.03125		5/16	13/16	Chord	4/4	1	1	1/128		1/128	1	243									18			
11	10	1257/32	1257/32	0.03125		41/128	105/128	Chord	4/4	1	1	1/128		1/128	1	244									18			
11	10	629/16	629/16	0.03125		21/64	53/64	Chord	4/4	1	1	1/128		1/128	1	245									18			
11	10	1259/32	1259/32	0.03125		43/128	107/128	Chord	4/4	1	1	1/128		1/128	1	246									18			
11	10	315/8	315/8	0.03125		11/32	27/32	Chord	4/4	1	1	1/128		1/128	1	247									18			
11	10	1261/32	1261/32	0.03125		45/128	109/128	Chord	4/4	1	1	1/128		1/128	1	248									18			
11	10	631/16	631/16	0.03125		23/64	55/64	Chord	4/4	1	1	1/128		1/128	1	249									18			
11	10	1263/32	1263/32	0.03125		47/128	111/128	Chord	4/4	1	1	1/128		1/128	1	250												
11	10	79/2	79/2	0.0		3/8	7/8	Dynamic	4/4	1	1	0						sf										
11	10	79/2	79/2	0.375		3/8	7/8	Chord	4/4	1	1	3/32		1/16	3/2	251												
11	10	319/8	319/8	0.125		15/32	31/32	Chord	4/4	1	1	1/32		1/32	1	252												
