mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	Trill:trill	Ottava:8va	pedal	Pedal_<sym>keyboardPedalPed</sym>	decrescendo_hairpin	crescendo_hairpin	crescendo_line	diminuendo_line
2	2	9/2	9/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	11									2								
2	2	5	5	0.5	1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	12									2								
2	2	11/2	11/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	13																	
3	3	6	6	1.5	0	0	Chord	6/8	1	1	3/8			1/4	3/2	14									3								
3	3	15/2	15/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4			1/4	1	15									3								
3	3	17/2	17/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	16																	
3	3	6	6	1.5	0	0	Chord	6/8	2	1	3/8			1/4	3/2	17																	
3	3	15/2	15/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4			1/4	1	18																	
3	3	17/2	17/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	19																	
4	4	9	9	1.0	0	0	Chord	6/8	1	1	1/4			1/4	1	20																	
4	4	10	10	0.0	1/4	1/4	Spanner	6/8	1	1	0																				0		
4	4	10	10	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	21															0		
4	4	21/2	21/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	22									4						0		
4	4	11	11	0.5	1/2	1/2	Chord	6/8	1	1	1/8			1/8	1	23									4						0		
4	4	23/2	23/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	24															0		
4	4	9	9	1.0	0	0	Chord	6/8	2	1	1/4			1/4	1	25																	
4	4	10	10	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	26																	
4	4	21/2	21/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	27									5								
4	4	11	11	0.5	1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	28									5								
4	4	23/2	23/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	29																	
5	5	12	12	0.0	0	0	Dynamic	6/8	1	1	0						mp																
5	5	12	12	0.0	0	0	Spanner	6/8	1	1	0																						
5	5	12	12	1.5	0	0	Chord	6/8	1	1	3/8			1/4	3/2	30																	
5	5	27/2	27/2	0.0	3/8	3/8	Spanner	6/8	1	1	0																			0			
5	5	27/2	27/2	0.0	3/8	3/8	Spanner	6/8	1	1	0																	0	0	0			
5	5	27/2	27/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8			1/4	3/2	31												0	0	0			
5	5	12	12	1.5	0	0	Chord	6/8	2	1	3/8			1/4	3/2	32																	
5	5	27/2	27/2	1.5	3/8	3/8	Chord	6/8	2	1	3/8			1/4	3/2	33																	
6	6	15	15	0.0	0	0	Spanner	6/8	1	1	0																	0	0				
6	6	15	15	1.5	0	0	Chord	6/8	1	1	3/8			1/4	3/2	34									6			0	0				
6	6	16	16	0.0	1/4	1/4	Spanner	6/8	1	1	0														6			0, 1	0				
6	6	33/2	33/2	0.0	3/8	3/8	Spanner	6/8	1	1	0														6			0	0				
6	6	33/2	33/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4			1/4	1	35									6			0	0				
6	6	35/2	35/2	0.0	5/8	5/8	Spanner	6/8	1	1	0																						
6	6	35/2	35/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	36																	
6	6	15	15	0.0	0	0	Dynamic	6/8	1	2	0						pp																
6	6	16	16	0.5	1/4	1/4	Chord	6/8	1	2	1/8			1/8	1	37																	
6	6	33/2	33/2	1.0	3/8	3/8	Chord	6/8	1	2	1/4			1/4	1	38																	
6	6	35/2	35/2	0.5	5/8	5/8	Chord	6/8	1	2	1/8			1/8	1	39																	
6	6	15	15	1.5	0	0	Chord	6/8	2	1	3/8			1/4	3/2	40									7								
6	6	33/2	33/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4			1/4	1	41									7								
6	6	35/2	35/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	42																	
7	7	18	18	1.5	0	0	Chord	6/8	1	1	3/8			1/4	3/2	43																	
7	7	39/2	39/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	44																	
7	7	20	20	0.5	1/2	1/2	Chord	6/8	1	1	1/8			1/8	1	45																	
7	7	41/2	41/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	46																	
7	7	18	18	1.5	0	0	Chord	6/8	2	1	3/8			1/4	3/2	47																	
7	7	39/2	39/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	48																	
7	7	20	20	0.5	1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	49																	
7	7	41/2	41/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	50																	
8	8	21	21	0.0	0	0	Spanner	6/8	1	1	0																					0	
8	8	21	21	1.0	0	0	Chord	6/8	1	1	1/4			1/4	1	51																0	
8	8	22	22	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	52																0	
8	8	45/2	45/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	53																0	
8	8	23	23	0.5	1/2	1/2	Chord	6/8	1	1	1/8			1/8	1	54																0	
8	8	47/2	47/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	55																0	
8	8	21	21	1.0	0	0	Chord	6/8	2	1	1/4			1/4	1	56																	
8	8	22	22	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	57																	
8	8	45/2	45/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	58																	
8	8	23	23	0.5	1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	59																	
8	8	47/2	47/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	60																	
9	9	24	24	0.5	0	0	Chord	6/8	1	1	1/8			1/8	1	61																0	
9	9	49/2	49/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8			1/8	1	62																0	
9	9	25	25	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	63																0	
9	9	51/2	51/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	64																0	
9	9	26	26	0.0	1/2	1/2	Spanner	6/8	1	1	0																						
9	9	26	26	0.5	1/2	1/2	Chord	6/8	1	1	1/8			1/8	1	65																	
9	9	53/2	53/2	0.0	5/8	5/8	Dynamic	6/8	1	1	0						mp																
9	9	53/2	53/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	66																	
9	9	24	24	1.5	0	0	Chord	6/8	1	2	3/8			1/4	3/2	67																	
9	9	24	24	1.5	0	0	Chord	6/8	2	1	3/8			1/4	3/2	68																	
9	9	51/2	51/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	69																	
9	9	26	26	0.5	1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	70																	
9	9	53/2	53/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	71																	
10	10	27	27	0.0	0	0	Spanner	6/8	1	1	0																					1	
10	10	27	27	1.0	0	0	Chord	6/8	1	1	1/4			1/4	1	72																1	
10	10	28	28	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	73																1	
10	10	57/2	57/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	74																1	
10	10	29	29	0.5	1/2	1/2	Chord	6/8	1	1	1/8			1/8	1	75																1	
10	10	59/2	59/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	76																1	
10	10	27	27	0.5	0	0	Chord	6/8	1	2	1/8			1/8	1	77																1	
10	10	55/2	55/2	0.5	1/8	1/8	Chord	6/8	1	2	1/8			1/8	1	78																1	
10	10	28	28	0.5	1/4	1/4	Chord	6/8	1	2	1/8			1/8	1	79																1	
10	10	59/2	59/2	0.25	5/8	5/8	Chord	6/8	1	2	1/16			1/16	1	80																1	
10	10	119/4	119/4	0.25	11/16	11/16	Chord	6/8	1	2	1/16			1/16	1	81																1	
10	10	27	27	1.0	0	0	Chord	6/8	2	1	1/4			1/4	1	82																	
10	10	28	28	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	83																	
10	10	57/2	57/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	84																	
10	10	29	29	0.5	1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	85																	
10	10	59/2	59/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	86																	
11	11	30	30	1.0	0	0	Chord	6/8	1	1	1/4			1/4	1	87																1	
11	11	31	31	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	88																1	
11	11	63/2	63/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	89																1	
11	11	32	32	0.0	1/2	1/2	Spanner	6/8	1	1	0																						
11	11	32	32	0.5	1/2	1/2	Chord	6/8	1	1	1/8			1/8	1	90																	
11	11	65/2	65/2	0.25	5/8	5/8	Chord	6/8	1	1	1/16			1/16	1	91																	
11	11	131/4	131/4	0.0	11/16	11/16	Dynamic	6/8	1	1	0						mf																
11	11	131/4	131/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16			1/16	1	92																	
11	11	65/2	65/2	0.5	5/8	5/8	Chord	6/8	1	2	1/8			1/8	1	93																	
11	11	30	30	1.0	0	0	Chord	6/8	2	1	1/4			1/4	1	94																	
11	11	31	31	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	95																	
11	11	63/2	63/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	96																	
11	11	32	32	0.5	1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	97																	
11	11	65/2	65/2	0.0	5/8	5/8	Spanner	6/8	2	1	0																				1		
11	11	65/2	65/2	0.25	5/8	5/8	Chord	6/8	2	1	1/16			1/16	1	98															1		
11	11	131/4	131/4	0.25	11/16	11/16	Chord	6/8	2	1	1/16			1/16	1	99															1		
11	11	63/2	63/2	1.0	3/8	3/8	Chord	6/8	2	2	1/4			1/4	1	100															1		
11	11	65/2	65/2	0.5	5/8	5/8	Chord	6/8	2	2	1/8			1/8	1	101															1		
12	12	33	33	1.0	0	0	Chord	6/8	1	1	1/4			1/4	1	102									8								
12	12	34	34	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	103																	
12	12	69/2	69/2	0.0	3/8	3/8	Spanner	6/8	1	1	0																			1			
12	12	69/2	69/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	104									9					1			
12	12	35	35	0.5	1/2	1/2	Chord	6/8	1	1	1/8			1/8	1	105									9					1			
12	12	71/2	71/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	106														1			
12	12	33	33	0.5	0	0	Chord	6/8	1	2	1/8			1/8	1	107														1			
12	12	67/2	67/2	0.5	1/8	1/8	Chord	6/8	1	2	1/8			1/8	1	108														1			
12	12	34	34	0.5	1/4	1/4	Chord	6/8	1	2	1/8			1/8	1	109														1			
12	12	139/4	139/4	0.25	7/16	7/16	Chord	6/8	1	2	1/16			1/16	1	110														1			
12	12	35	35	0.5	1/2	1/2	Chord	6/8	1	2	1/8			1/8	1	111														1			
12	12	71/2	71/2	0.5	5/8	5/8	Chord	6/8	1	2	1/8			1/8	1	112														1			
12	12	33	33	0.0	0	0	Spanner	6/8	2	1	0																						
12	12	33	33	0.0	0	0	Spanner	6/8	2	1	0																			2			
12	12	33	33	1.0	0	0	Chord	6/8	2	1	1/4			1/4	1	113														2			
12	12	34	34	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	114														2			
12	12	69/2	69/2	0.0	3/8	3/8	Spanner	6/8	2	1	0																						
12	12	69/2	69/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	115																	
12	12	35	35	0.5	1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	116																	
12	12	71/2	71/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	117																	
12	12	33	33	1.0	0	0	Chord	6/8	2	2	1/4			1/4	1	118																	
12	12	34	34	0.5	1/4	1/4	Chord	6/8	2	2	1/8			1/8	1	119																	
12	12	69/2	69/2	0.5	3/8	3/8	Chord	6/8	2	2	1/8			1/8	1	120																	
12	12	35	35	0.5	1/2	1/2	Chord	6/8	2	2	1/8			1/8	1	121																	
12	12	71/2	71/2	0.5	5/8	5/8	Chord	6/8	2	2	1/8			1/8	1	122																	
13	13	36	36	0.0	0	0	Spanner	6/8	1	1	0																						
13	13	36	36	1.0	0	0	Chord	6/8	1	1	1/4			1/4	1	123									10								
13	13	37	37	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	124																	
13	13	75/2	75/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4			1/4	1	125									11								
13	13	77/2	77/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	126																	
13	13	73/2	73/2	0.5	1/8	1/8	Chord	6/8	1	2	1/8			1/8	1	127																	
13	13	37	37	0.5	1/4	1/4	Chord	6/8	1	2	1/8			1/8	1	128																	
13	13	36	36	1.0	0	0	Chord	6/8	2	1	1/4			1/4	1	129																	
13	13	37	37	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	130																	
13	13	75/2	75/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4			1/4	1	131																	
13	13	77/2	77/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	132																	
14	14	39	39	0.0	0	0	Chord	6/8	1	1	0	grace16		1/16	1	133																	
14	14	39	39	1.0	0	0	Chord	6/8	1	1	1/4			1/4	1	134									12								
14	14	40	40	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	135									12								
14	14	81/2	81/2	0.0	3/8	3/8	Spanner	6/8	1	1	0														12						2		
14	14	81/2	81/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4			1/4	1	136									12						2		
14	14	83/2	83/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	137									12						2		
14	14	81/2	81/2	1.5	3/8	3/8	Chord	6/8	1	2	3/8			1/4	3/2	138															2		
14	14	39	39	0.125	0	0	Chord	6/8	1	4	1/32			1/32	1	139															2		
14	14	313/8	313/8	0.875	1/32	1/32	Chord	6/8	1	4	7/32			1/8	7/4	140															2		
14	14	39	39	1.5	0	0	Chord	6/8	2	1	3/8			1/4	3/2	141																	
14	14	81/2	81/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4			1/4	1	142																	
14	14	83/2	83/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	143																	
14	14	81/2	81/2	1.5	3/8	3/8	Chord	6/8	2	2	3/8			1/4	3/2	144																	
15	15	42	42	0.0	0	0	Spanner	6/8	1	1	0														12								
15	15	42	42	0.0	0	0	Spanner	6/8	1	1	0														12					3			
15	15	42	42	1.0	0	0	Chord	6/8	1	1	1/4			1/4	1	145									12					3			
15	15	43	43	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	146									12					3			
15	15	87/2	87/2	0.0	3/8	3/8	Spanner	6/8	1	1	0																						
15	15	87/2	87/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4			1/4	1	147																	
15	15	89/2	89/2	0.0	5/8	5/8	Dynamic	6/8	1	1	0						p																
15	15	89/2	89/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	148																	
15	15	42	42	1.5	0	0	Chord	6/8	1	2	3/8			1/4	3/2	149																	
15	15	87/2	87/2	1.0	3/8	3/8	Chord	6/8	1	2	1/4			1/4	1	150																	
15	15	42	42	1.5	0	0	Chord	6/8	2	1	3/8			1/4	3/2	151																	
15	15	87/2	87/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4			1/4	1	152																	
15	15	89/2	89/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	153																	
16	16	45	45	0.5	0	0	Chord	6/8	1	1	1/8			1/8	1	154																	
16	16	91/2	91/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8			1/8	1	155																	
16	16	46	46	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	156																	
16	16	93/2	93/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4			1/4	1	157																	
16	16	95/2	95/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	158																	
16	16	45	45	0.5	0	0	Chord	6/8	2	1	1/8			1/8	1	159									13								
16	16	91/2	91/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8			1/8	1	160																	
16	16	46	46	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	161																	
16	16	93/2	93/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4			1/4	1	162																	
16	16	95/2	95/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	163																	
17	17	48	48	1.0	0	0	Chord	6/8	1	1	1/4			1/4	1	164																	
17	17	49	49	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	165																	
17	17	99/2	99/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	166																	
17	17	50	50	0.5	1/2	1/2	Chord	6/8	1	1	1/8			1/8	1	167																	
17	17	101/2	101/2	0.25	5/8	5/8	Chord	6/8	1	1	1/16			1/16	1	168																	
17	17	203/4	203/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16			1/16	1	169																	
17	17	101/2	101/2	0.5	5/8	5/8	Chord	6/8	1	2	1/8			1/8	1	170																	
17	17	48	48	1.0	0	0	Chord	6/8	2	1	1/4			1/4	1	171																	
17	17	49	49	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	172																	
17	17	99/2	99/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	173																	
17	17	50	50	0.5	1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	174																	
17	17	101/2	101/2	0.25	5/8	5/8	Chord	6/8	2	1	1/16			1/16	1	175																	
17	17	203/4	203/4	0.25	11/16	11/16	Chord	6/8	2	1	1/16			1/16	1	176																	
18	18	51	51	1.0	0	0	Chord	6/8	1	1	1/4			1/4	1	177																	
18	18	103/2	103/2	0.0	1/8	1/8	Spanner	6/8	1	1	0																					2	
18	18	52	52	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	178																2	
18	18	105/2	105/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	179																2	
18	18	53	53	0.5	1/2	1/2	Chord	6/8	1	1	1/8			1/8	1	180																2	
18	18	107/2	107/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	181																2	
18	18	103/2	103/2	0.5	1/8	1/8	Chord	6/8	1	2	1/8			1/8	1	182																2	
18	18	52	52	0.5	1/4	1/4	Chord	6/8	1	2	1/8			1/8	1	183																2	
18	18	105/2	105/2	1.0	3/8	3/8	Chord	6/8	1	2	1/4			1/4	1	184																2	
18	18	107/2	107/2	0.5	5/8	5/8	Chord	6/8	1	2	1/8			1/8	1	185																2	
18	18	51	51	0.5	0	0	Chord	6/8	2	1	1/8			1/8	1	186																	
18	18	103/2	103/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8			1/8	1	187																	
18	18	52	52	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	188																	
18	18	105/2	105/2	0.75	3/8	3/8	Chord	6/8	2	1	3/16			1/8	3/2	189																	
18	18	213/4	213/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16			1/16	1	190																	
18	18	107/2	107/2	0.25	5/8	5/8	Chord	6/8	2	1	1/16			1/16	1	191																	
18	18	215/4	215/4	0.0	11/16	11/16	Dynamic	6/8	2	1	0						mp																
18	18	215/4	215/4	0.25	11/16	11/16	Chord	6/8	2	1	1/16			1/16	1	192																	
19	19	54	54	0.0	0	0	Spanner	6/8	1	1	0																						
19	19	54	54	0.5	0	0	Chord	6/8	1	1	1/8			1/8	1	193																	
19	19	109/2	109/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8			1/8	1	194																	
19	19	55	55	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	195																	
19	19	111/2	111/2	0.75	3/8	3/8	Chord	6/8	1	1	3/16			1/8	3/2	196																	
19	19	225/4	225/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16			1/16	1	197									14								
19	19	113/2	113/2	0.25	5/8	5/8	Chord	6/8	1	1	1/16			1/16	1	198									14								
19	19	227/4	227/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16			1/16	1	199																	
19	19	54	54	0.0	0	0	Dynamic	6/8	1	2	0						p																
19	19	54	54	1.5	0	0	Chord	6/8	1	2	3/8			1/4	3/2	200																	
19	19	111/2	111/2	0.75	3/8	3/8	Chord	6/8	1	2	3/16			1/8	3/2	201																	
19	19	54	54	1.5	0	0	Chord	6/8	2	1	3/8			1/4	3/2	202																	
19	19	111/2	111/2	0.25	3/8	3/8	Chord	6/8	2	1	1/16			1/16	1	203																	
19	19	223/4	223/4	0.25	7/16	7/16	Chord	6/8	2	1	1/16			1/16	1	204									15								
19	19	56	56	0.25	1/2	1/2	Chord	6/8	2	1	1/16			1/16	1	205									15								
19	19	225/4	225/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16			1/16	1	206									15								
19	19	113/2	113/2	0.25	5/8	5/8	Chord	6/8	2	1	1/16			1/16	1	207									15								
19	19	227/4	227/4	0.25	11/16	11/16	Chord	6/8	2	1	1/16			1/16	1	208																	
20	20	57	57	1.0	0	0	Chord	6/8	1	1	1/4			1/4	1	209																	
20	20	58	58	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	210																	
20	20	117/2	117/2	0.0	3/8	3/8	Spanner	6/8	1	1	0																				3		
20	20	117/2	117/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	211															3		
20	20	59	59	0.0	1/2	1/2	Spanner	6/8	1	1	0																						
20	20	59	59	0.0	1/2	1/2	Spanner	6/8	1	1	0																			4			
20	20	59	59	0.5	1/2	1/2	Chord	6/8	1	1	1/8			1/8	1	212														4			
20	20	119/2	119/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	213														4			
20	20	57	57	0.5	0	0	Chord	6/8	1	2	1/8			1/8	1	214														4			
20	20	115/2	115/2	0.5	1/8	1/8	Chord	6/8	1	2	1/8			1/8	1	215														4			
20	20	58	58	0.5	1/4	1/4	Chord	6/8	1	2	1/8			1/8	1	216														4			
20	20	117/2	117/2	1.0	3/8	3/8	Chord	6/8	1	2	1/4			1/4	1	217														4			
20	20	119/2	119/2	0.5	5/8	5/8	Chord	6/8	1	2	1/8			1/8	1	218														4			
20	20	57	57	0.5	0	0	Chord	6/8	2	1	1/8			1/8	1	219																	
20	20	115/2	115/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8			1/8	1	220																	
20	20	58	58	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	221																	
20	20	117/2	117/2	0.75	3/8	3/8	Chord	6/8	2	1	3/16			1/8	3/2	222																	
20	20	237/4	237/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16			1/16	1	223																	
20	20	119/2	119/2	0.25	5/8	5/8	Chord	6/8	2	1	1/16			1/16	1	224																	
20	20	239/4	239/4	0.25	11/16	11/16	Chord	6/8	2	1	1/16			1/16	1	225																	
21	21	60	60	0.0	0	0	Spanner	6/8	1	1	0																						
21	21	60	60	1.0	0	0	Chord	6/8	1	1	1/4			1/4	1	226																	
21	21	61	61	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	227																	
21	21	123/2	123/2	0.0	3/8	3/8	Tempo	6/8	1	1	0									𝅘𝅥𝅮=86	43.0	𝅘𝅥𝅮	86.0	0.0									
21	21	123/2	123/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	228									16								
21	21	62	62	1.0	1/2	1/2	Chord	6/8	1	1	1/4			1/4	1	229																	
21	21	125/2	125/2	0.0	5/8	5/8	Tempo	6/8	1	1	0									𝅘𝅥𝅮=83	42.0	𝅘𝅥𝅮	83.0	0.0									
21	21	60	60	0.5	0	0	Chord	6/8	1	2	1/8			1/8	1	230																	
21	21	121/2	121/2	0.5	1/8	1/8	Chord	6/8	1	2	1/8			1/8	1	231																	
21	21	61	61	0.5	1/4	1/4	Chord	6/8	1	2	1/8			1/8	1	232																	
21	21	123/2	123/2	0.5	3/8	3/8	Chord	6/8	1	2	1/8			1/8	1	233																	
21	21	62	62	0.5	1/2	1/2	Chord	6/8	1	2	1/8			1/8	1	234																	
21	21	125/2	125/2	0.5	5/8	5/8	Chord	6/8	1	2	1/8			1/8	1	235																	
21	21	121/2	121/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8			1/8	1	236																	
21	21	61	61	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	237																	
21	21	123/2	123/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	238																	
21	21	62	62	0.5	1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	239																	
21	21	125/2	125/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	240																	
21	21	60	60	1.0	0	0	Chord	6/8	2	2	1/4			1/4	1	241																	
