mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	slur	decrescendo_hairpin	crescendo_hairpin
7	7	53/2	53/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	90				4		
7	7	27	27	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	91				4		
7	7	55/2	55/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	92						
7	7	24	24	0.5		0	0	Chord	4/4	2	1	1/8		1/8	1	93						
7	7	49/2	49/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	94						
7	7	25	25	0.5		1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	95						
7	7	51/2	51/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	96						
7	7	26	26	0.5		1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	97						
7	7	53/2	53/2	0.5		5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	98						
7	7	27	27	0.5		3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	99						
7	7	55/2	55/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	100						
7	7	24	24	3.0		0	0	Chord	4/4	2	2	3/4		1/2	3/2	101						
7	7	27	27	1.0		3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	102						
8	8	28	28	2.0		0	0	Chord	4/4	1	1	1/2		1/2	1	103				5		
8	8	30	30	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	104						
8	8	61/2	61/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	105				6		
8	8	31	31	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	106				6		
8	8	63/2	63/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	107						
8	8	57/2	57/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	108						
8	8	29	29	0.5		1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	109						
8	8	59/2	59/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	110						
8	8	30	30	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	111						
8	8	28	28	3.0		0	0	Chord	4/4	2	2	3/4		1/2	3/2	112						
9	9	32	32	2.0		0	0	Chord	4/4	1	1	1/2		1/2	1	113						
9	9	34	34	2.0		1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	114						
9	9	65/2	65/2	0.5		1/8	1/8	Chord	4/4	1	2	1/8		1/8	1	115				7		
9	9	33	33	0.5		1/4	1/4	Chord	4/4	1	2	1/8		1/8	1	116				7		
9	9	67/2	67/2	0.5		3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	117						
9	9	34	34	2.0		1/2	1/2	Chord	4/4	1	2	1/2		1/2	1	118						
9	9	69/2	69/2	0.5		5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	119				8		
9	9	35	35	0.5		3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	120				8		
9	9	71/2	71/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	121						
9	9	32	32	4.0		0	0	Chord	4/4	2	2	1		1	1	122						
10	10	36	36	3.0		0	0	Chord	4/4	1	1	3/4		1/2	3/2	123						
10	10	36	36	0.5		0	0	Chord	4/4	1	2	1/8		1/8	1	124				9		
10	10	73/2	73/2	0.5		1/8	1/8	Chord	4/4	1	2	1/8		1/8	1	125						
10	10	37	37	0.5		1/4	1/4	Chord	4/4	1	2	1/8		1/8	1	126			articStaccatoBelow			
10	10	75/2	75/2	0.5		3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	127			articStaccatoBelow			
10	10	38	38	1.0		1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	128						
10	10	36	36	2.0		0	0	Chord	4/4	2	1	1/2		1/2	1	129						
10	10	38	38	0.5		1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	130						
10	10	77/2	77/2	0.5		5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	131				10		
10	10	39	39	0.5		3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	132				10		
10	10	79/2	79/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	133						
11	11	81/2	81/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	134				11		
11	11	41	41	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	135				11		
11	11	83/2	83/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	136						
11	11	42	42	2.0		1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	137						
11	11	40	40	2.0		0	0	Chord	4/4	1	2	1/2		1/2	1	138						
11	11	85/2	85/2	0.5		5/8	5/8	Chord	4/4	1	2	1/8		1/8	1	139				12		
11	11	43	43	0.5		3/4	3/4	Chord	4/4	1	2	1/8		1/8	1	140				12		
11	11	87/2	87/2	0.5		7/8	7/8	Chord	4/4	1	2	1/8		1/8	1	141						
11	11	40	40	0.0		0	0	Dynamic	4/4	2	1	0						sf				
11	11	40	40	2.0		0	0	Chord	4/4	2	1	1/2		1/2	1	142						
11	11	42	42	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	143						
11	11	43	43	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	144						
11	11	40	40	0.0		0	0	Dynamic	4/4	2	2	0						sf				
11	11	40	40	4.0		0	0	Chord	4/4	2	2	1		1	1	145						
12	12	44	44	0.0		0	0	Dynamic	4/4	1	1	0						pp				
12	12	44	44	1.0		0	0	Chord	4/4	1	1	1/4		1/4	1	146						
12	12	44	44	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	147						
12	12	44	44	0.5		0	0	Chord	4/4	2	2	1/8		1/8	1	148						
12	12	89/2	89/2	0.5		1/8	1/8	Chord	4/4	2	2	1/8		1/8	1	149				13		
12	12	45	45	0.5		1/4	1/4	Chord	4/4	2	2	1/8		1/8	1	150						
12	12	91/2	91/2	0.5		3/8	3/8	Chord	4/4	2	2	1/8		1/8	1	151			articStaccatoBelow	14		
12	12	46	46	0.5		1/2	1/2	Chord	4/4	2	2	1/8		1/8	1	152			articStaccatoBelow	14		
12	12	93/2	93/2	0.5		5/8	5/8	Chord	4/4	2	2	1/8		1/8	1	153			articStaccatoBelow	14		
12	12	47	47	0.5		3/4	3/4	Chord	4/4	2	2	1/8		1/8	1	154			articStaccatoBelow	14		
12	12	95/2	95/2	0.5		7/8	7/8	Chord	4/4	2	2	1/8		1/8	1	155			articStaccatoBelow			
13	13	97/2	97/2	0.25		1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	156						
13	13	195/4	195/4	0.25		3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	157						
13	13	49	49	0.16666666666666666		1/4	1/4	Chord	4/4	1	1	1/24		1/16	2/3	158						
13	13	295/6	295/6	0.16666666666666666		7/24	7/24	Chord	4/4	1	1	1/24		1/16	2/3	159						
13	13	148/3	148/3	0.16666666666666666		1/3	1/3	Chord	4/4	1	1	1/24		1/16	2/3	160						
13	13	99/2	99/2	0.16666666666666666		3/8	3/8	Chord	4/4	1	1	1/24		1/16	2/3	161						
13	13	149/3	149/3	0.16666666666666666		5/12	5/12	Chord	4/4	1	1	1/24		1/16	2/3	162						
13	13	299/6	299/6	0.16666666666666666		11/24	11/24	Chord	4/4	1	1	1/24		1/16	2/3	163						
13	13	50	50	1.0		1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	164			articStaccatoAbove			
13	13	51	51	1.0		3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	165			articStaccatoAbove			
13	13	48	48	0.5		0	0	Chord	4/4	2	1	1/8		1/8	1	166						
13	13	97/2	97/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	167						
13	13	49	49	0.5		1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	168						
13	13	99/2	99/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	169						
13	13	50	50	0.5		1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	170						
13	13	101/2	101/2	0.5		5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	171						
13	13	51	51	0.5		3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	172						
13	13	103/2	103/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	173						
14	14	52	52	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	174				15		
14	14	105/2	105/2	0.25		1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	175						
14	14	53	53	2.0		1/4	1/4	Chord	4/4	1	1	1/2		1/2	1	176						
14	14	55	55	1.0		3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	177						
14	14	52	52	0.5		0	0	Chord	4/4	2	1	1/8		1/8	1	178						
14	14	105/2	105/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	179						
14	14	53	53	0.5		1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	180						
14	14	107/2	107/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	181						
14	14	54	54	0.5		1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	182						
14	14	109/2	109/2	0.5		5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	183						
14	14	55	55	0.5		3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	184						
14	14	111/2	111/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	185						
15	15	58	58	1.0		1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	186				16		
15	15	59	59	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	187				16		
15	15	119/2	119/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	188						
15	15	56	56	0.75		0	0	Chord	4/4	1	2	3/16		1/8	3/2	189			ornamentTurn			
15	15	227/4	227/4	0.25		3/16	3/16	Chord	4/4	1	2	1/16		1/16	1	190						
15	15	57	57	0.3333333333333333		1/4	1/4	Chord	4/4	1	2	1/12		1/8	2/3	191			articStaccatoBelow			
15	15	172/3	172/3	0.3333333333333333		1/3	1/3	Chord	4/4	1	2	1/12		1/8	2/3	192			articStaccatoBelow			
15	15	173/3	173/3	0.3333333333333333		5/12	5/12	Chord	4/4	1	2	1/12		1/8	2/3	193			articStaccatoBelow			
15	15	59	59	1.0		3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	194						
15	15	56	56	0.5		0	0	Chord	4/4	2	1	1/8		1/8	1	195						
15	15	113/2	113/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	196						
15	15	57	57	0.5		1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	197						
15	15	115/2	115/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	198						
15	15	58	58	0.5		1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	199						
15	15	117/2	117/2	0.5		5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	200						
15	15	59	59	0.5		3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	201						
15	15	119/2	119/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	202						
16	16	60	60	2.0		0	0	Chord	4/4	1	1	1/2		1/2	1	203				17		
16	16	62	62	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	204						
16	16	125/2	125/2	0.25		5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	205						
16	16	251/4	251/4	0.0		11/16	11/16	Dynamic	4/4	1	1	0						other-dynamics				
16	16	251/4	251/4	0.25		11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	206						
16	16	63	63	0.25		3/4	3/4	Chord	4/4	1	1	1/16		1/16	1	207						
16	16	253/4	253/4	0.25		13/16	13/16	Chord	4/4	1	1	1/16		1/16	1	208						
16	16	127/2	127/2	0.25		7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	209						
16	16	255/4	255/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	210						
16	16	121/2	121/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	211						
16	16	61	61	0.5		1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	212						
16	16	123/2	123/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	213						
16	16	62	62	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	214						
16	16	60	60	3.0		0	0	Chord	4/4	2	2	3/4		1/2	3/2	215						
17	17	64	64	0.25		0	0	Chord	4/4	1	1	1/16		1/16	1	216						
17	17	257/4	257/4	0.25		1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	217						
17	17	129/2	129/2	0.25		1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	218						
17	17	259/4	259/4	0.25		3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	219						
17	17	65	65	1.0		1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	220						
17	17	133/2	133/2	0.25		5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	221						
17	17	267/4	267/4	0.25		11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	222						
17	17	67	67	0.25		3/4	3/4	Chord	4/4	1	1	1/16		1/16	1	223						
17	17	269/4	269/4	0.25		13/16	13/16	Chord	4/4	1	1	1/16		1/16	1	224						
17	17	135/2	135/2	0.25		7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	225						
17	17	271/4	271/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	226						
17	17	65	65	0.25		1/4	1/4	Chord	4/4	2	1	1/16		1/16	1	227						
17	17	261/4	261/4	0.25		5/16	5/16	Chord	4/4	2	1	1/16		1/16	1	228						
17	17	131/2	131/2	0.25		3/8	3/8	Chord	4/4	2	1	1/16		1/16	1	229						
17	17	263/4	263/4	0.25		7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	230						
17	17	66	66	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	231						
18	18	68	68	0.25		0	0	Chord	4/4	1	1	1/16		1/16	1	232						
18	18	273/4	273/4	0.25		1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	233						
18	18	137/2	137/2	0.25		1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	234						
18	18	275/4	275/4	0.25		3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	235						
18	18	69	69	1.0		1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	236						
18	18	141/2	141/2	0.25		5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	237						
18	18	283/4	283/4	0.25		11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	238						
18	18	71	71	0.25		3/4	3/4	Chord	4/4	1	1	1/16		1/16	1	239						
18	18	285/4	285/4	0.25		13/16	13/16	Chord	4/4	1	1	1/16		1/16	1	240						
18	18	143/2	143/2	0.25		7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	241						
18	18	287/4	287/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	242						
18	18	69	69	0.25		1/4	1/4	Chord	4/4	1	2	1/16		1/16	1	243						
18	18	277/4	277/4	0.25		5/16	5/16	Chord	4/4	1	2	1/16		1/16	1	244						
18	18	139/2	139/2	0.25		3/8	3/8	Chord	4/4	1	2	1/16		1/16	1	245						
18	18	279/4	279/4	0.25		7/16	7/16	Chord	4/4	1	2	1/16		1/16	1	246						
18	18	70	70	1.0		1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	247						
19	19	72	72	0.25		0	0	Chord	4/4	1	1	1/16		1/16	1	248						
19	19	289/4	289/4	0.25		1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	249						
19	19	145/2	145/2	0.25		1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	250						
19	19	291/4	291/4	0.25		3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	251						
19	19	73	73	0.25		1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	252						
19	19	293/4	293/4	0.25		5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	253						
19	19	147/2	147/2	0.25		3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	254						
19	19	295/4	295/4	0.25		7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	255						
19	19	74	74	0.25		1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	256						
19	19	297/4	297/4	0.25		9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	257						
19	19	149/2	149/2	0.25		5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	258						
19	19	299/4	299/4	0.25		11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	259						
19	19	75	75	0.25		3/4	3/4	Chord	4/4	1	1	1/16		1/16	1	260						
19	19	301/4	301/4	0.25		13/16	13/16	Chord	4/4	1	1	1/16		1/16	1	261						
19	19	151/2	151/2	0.25		7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	262						
19	19	303/4	303/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	263						
19	19	72	72	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	264						
19	19	74	74	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	265						
20	20	76	76	0.25		0	0	Chord	4/4	1	1	1/16		1/16	1	266						
20	20	305/4	305/4	0.25		1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	267						
20	20	153/2	153/2	0.25		1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	268						
20	20	307/4	307/4	0.25		3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	269						
20	20	77	77	0.25		1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	270						
20	20	309/4	309/4	0.25		5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	271						
20	20	155/2	155/2	0.25		3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	272						
20	20	311/4	311/4	0.25		7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	273						
20	20	78	78	0.25		1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	274						
20	20	313/4	313/4	0.25		9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	275						
20	20	157/2	157/2	0.25		5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	276						
20	20	315/4	315/4	0.25		11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	277						
20	20	79	79	0.25		3/4	3/4	Chord	4/4	1	1	1/16		1/16	1	278						
20	20	317/4	317/4	0.25		13/16	13/16	Chord	4/4	1	1	1/16		1/16	1	279						
20	20	159/2	159/2	0.25		7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	280						
20	20	319/4	319/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	281						
