mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	articulation
4	3	23/4	23/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	45		
4	3	6	6	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	46		
4	3	25/4	25/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	47		
4	3	13/2	13/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	48		
4	3	27/4	27/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	49		
4	3	5	5	0.5	0	0	Chord	2/4	2	2	1/8		1/8	1	50		
4	3	11/2	11/2	0.5	1/8	1/8	Chord	2/4	2	2	1/8		1/8	1	51		
4	3	6	6	0.5	1/4	1/4	Chord	2/4	2	2	1/8		1/8	1	52		
4	3	13/2	13/2	0.5	3/8	3/8	Chord	2/4	2	2	1/8		1/8	1	53		
5	4	7	7	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	54		
5	4	15/2	15/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	55		
5	4	8	8	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	56		
5	4	33/4	33/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	57		
5	4	17/2	17/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	58		
5	4	35/4	35/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	59		
5	4	7	7	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	60		
5	4	29/4	29/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	61		
5	4	15/2	15/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	62		
5	4	31/4	31/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	63		
5	4	8	8	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	64		
5	4	33/4	33/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	65		
5	4	17/2	17/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	66		
5	4	35/4	35/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	67		
5	4	7	7	1.5	0	0	Chord	2/4	2	2	3/8		1/4	3/2	68		
5	4	17/2	17/2	0.5	3/8	3/8	Chord	2/4	2	2	1/8		1/8	1	69		
6	5	9	9	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	70	<	
6	5	37/4	37/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	71		
6	5	19/2	19/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	72		
6	5	39/4	39/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	73		
6	5	10	10	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	74		
6	5	41/4	41/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	75		
6	5	21/2	21/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	76		
6	5	43/4	43/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	77		
6	5	9	9	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	78		
6	5	37/4	37/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	79		
6	5	19/2	19/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	80		
6	5	39/4	39/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	81		
6	5	10	10	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	82		
6	5	41/4	41/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	83		
6	5	21/2	21/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	84		
6	5	43/4	43/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	85		
6	5	9	9	0.5	0	0	Chord	2/4	2	2	1/8		1/8	1	86		
6	5	19/2	19/2	0.5	1/8	1/8	Chord	2/4	2	2	1/8		1/8	1	87		
6	5	10	10	0.5	1/4	1/4	Chord	2/4	2	2	1/8		1/8	1	88		
6	5	21/2	21/2	0.5	3/8	3/8	Chord	2/4	2	2	1/8		1/8	1	89		
7	6	11	11	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	90		
7	6	45/4	45/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	91		
7	6	23/2	23/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	92		
7	6	47/4	47/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	93		
7	6	12	12	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	94		
7	6	49/4	49/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	95		
7	6	25/2	25/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	96		
7	6	51/4	51/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	97		
7	6	11	11	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	98		
7	6	45/4	45/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	99		
7	6	23/2	23/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	100		
7	6	47/4	47/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	101		
7	6	12	12	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	102		
7	6	49/4	49/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	103		
7	6	25/2	25/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	104		
7	6	51/4	51/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	105		
7	6	11	11	0.5	0	0	Chord	2/4	2	2	1/8		1/8	1	106		
7	6	23/2	23/2	0.5	1/8	1/8	Chord	2/4	2	2	1/8		1/8	1	107		
7	6	12	12	0.5	1/4	1/4	Chord	2/4	2	2	1/8		1/8	1	108		
7	6	25/2	25/2	0.5	3/8	3/8	Chord	2/4	2	2	1/8		1/8	1	109		
8	7	13	13	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	110		
8	7	53/4	53/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	111		
8	7	27/2	27/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	112		
8	7	55/4	55/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	113		
8	7	14	14	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	114		
8	7	57/4	57/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	115		
8	7	29/2	29/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	116		
8	7	59/4	59/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	117		
8	7	13	13	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	118		
8	7	53/4	53/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	119		
8	7	27/2	27/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	120		
8	7	55/4	55/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	121		
8	7	14	14	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	122		
8	7	57/4	57/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	123		
8	7	29/2	29/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	124		
8	7	59/4	59/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	125		
8	7	13	13	0.5	0	0	Chord	2/4	2	2	1/8		1/8	1	126		
8	7	27/2	27/2	0.5	1/8	1/8	Chord	2/4	2	2	1/8		1/8	1	127		
8	7	14	14	0.5	1/4	1/4	Chord	2/4	2	2	1/8		1/8	1	128		
8	7	29/2	29/2	0.5	3/8	3/8	Chord	2/4	2	2	1/8		1/8	1	129		
9	8	15	15	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	130	p	
9	8	31/2	31/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	131		
9	8	65/4	65/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	132		
9	8	33/2	33/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	133		
9	8	67/4	67/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	134		
9	8	61/4	61/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	135		
9	8	31/2	31/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	136		
9	8	63/4	63/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	137		
9	8	16	16	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	138		
9	8	15	15	1.0	0	0	Chord	2/4	2	2	1/4		1/4	1	139		
9	8	16	16	0.5	1/4	1/4	Chord	2/4	2	2	1/8		1/8	1	140		
10	9	17	17	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	141		
10	9	69/4	69/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	142		
10	9	35/2	35/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	143		
10	9	71/4	71/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	144		
10	9	18	18	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	145		
10	9	37/2	37/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	146		
10	9	17	17	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	147		
10	9	69/4	69/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	148		
10	9	35/2	35/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	149		
10	9	71/4	71/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	150		
10	9	18	18	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	151		
10	9	73/4	73/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	152		
10	9	37/2	37/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	153		
10	9	75/4	75/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	154		
10	9	17	17	0.5	0	0	Chord	2/4	2	2	1/8		1/8	1	155		
10	9	35/2	35/2	0.5	1/8	1/8	Chord	2/4	2	2	1/8		1/8	1	156		
10	9	18	18	0.5	1/4	1/4	Chord	2/4	2	2	1/8		1/8	1	157		
10	9	37/2	37/2	0.5	3/8	3/8	Chord	2/4	2	2	1/8		1/8	1	158		
11	10	19	19	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	159		
11	10	39/2	39/2	0.75	1/8	1/8	Chord	2/4	1	1	3/16		1/8	3/2	160		
11	10	81/4	81/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	161		
11	10	41/2	41/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	162		
11	10	83/4	83/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	163		
11	10	19	19	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	164		
11	10	77/4	77/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	165		
11	10	39/2	39/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	166		
11	10	79/4	79/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	167		
11	10	20	20	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	168		
11	10	81/4	81/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	169		
11	10	41/2	41/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	170		
11	10	83/4	83/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	171		
11	10	19	19	2.0	0	0	Chord	2/4	2	2	1/2		1/2	1	172		
12	11	21	21	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	173		
12	11	85/4	85/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	174		
12	11	43/2	43/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	175		
12	11	87/4	87/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	176		
12	11	22	22	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	177		
12	11	45/2	45/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	178		
12	11	21	21	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	179		
12	11	85/4	85/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	180		
12	11	43/2	43/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	181		
12	11	87/4	87/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	182		
12	11	22	22	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	183		
12	11	89/4	89/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	184		
12	11	45/2	45/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	185		
12	11	91/4	91/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	186		
12	11	21	21	0.5	0	0	Chord	2/4	2	2	1/8		1/8	1	187		
12	11	43/2	43/2	0.5	1/8	1/8	Chord	2/4	2	2	1/8		1/8	1	188		
12	11	22	22	0.5	1/4	1/4	Chord	2/4	2	2	1/8		1/8	1	189		
12	11	45/2	45/2	0.5	3/8	3/8	Chord	2/4	2	2	1/8		1/8	1	190		
13	12	23	23	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	191		
13	12	47/2	47/2	0.75	1/8	1/8	Chord	2/4	1	1	3/16		1/8	3/2	192		
13	12	97/4	97/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	193		
13	12	49/2	49/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	194		
13	12	99/4	99/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	195		
13	12	49/2	49/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	196		
13	12	23	23	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	197		
13	12	93/4	93/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	198		
13	12	47/2	47/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	199		
13	12	95/4	95/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	200		
13	12	24	24	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	201		
13	12	97/4	97/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	202		
13	12	49/2	49/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	203		
13	12	99/4	99/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	204		
13	12	23	23	1.5	0	0	Chord	2/4	2	2	3/8		1/4	3/2	205		
13	12	49/2	49/2	0.5	3/8	3/8	Chord	2/4	2	2	1/8		1/8	1	206		
14	13	25	25	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	207		
14	13	101/4	101/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	208		
14	13	51/2	51/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	209		
14	13	103/4	103/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	210		
14	13	26	26	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	211		
14	13	105/4	105/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	212		
14	13	53/2	53/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	213		
14	13	107/4	107/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	214		
14	13	25	25	0.5	0	0	Chord	2/4	1	2	1/8		1/8	1	215	<	
14	13	51/2	51/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	216		
14	13	26	26	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	217		
14	13	53/2	53/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	218		
14	13	25	25	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	219		
14	13	101/4	101/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	220		
14	13	51/2	51/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	221		
14	13	103/4	103/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	222		
14	13	26	26	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	223		
14	13	105/4	105/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	224		
14	13	53/2	53/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	225		
14	13	107/4	107/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	226		
14	13	25	25	0.5	0	0	Chord	2/4	2	2	1/8		1/8	1	227		
14	13	51/2	51/2	0.5	1/8	1/8	Chord	2/4	2	2	1/8		1/8	1	228		
14	13	26	26	0.5	1/4	1/4	Chord	2/4	2	2	1/8		1/8	1	229		
14	13	53/2	53/2	0.5	3/8	3/8	Chord	2/4	2	2	1/8		1/8	1	230		
15	14	27	27	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	231		
15	14	109/4	109/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	232		
15	14	55/2	55/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	233		
15	14	111/4	111/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	234		
15	14	28	28	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	235		
15	14	113/4	113/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	236		
15	14	57/2	57/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	237		
15	14	115/4	115/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	238		
15	14	27	27	0.5	0	0	Chord	2/4	1	2	1/8		1/8	1	239		
15	14	55/2	55/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	240		
15	14	28	28	0.25	1/4	1/4	Chord	2/4	1	2	1/16		1/16	1	241		
15	14	27	27	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	242		
15	14	109/4	109/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	243		
15	14	55/2	55/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	244		
15	14	111/4	111/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	245		
15	14	28	28	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	246		
15	14	113/4	113/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	247		
15	14	57/2	57/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	248		
15	14	115/4	115/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	249		
15	14	27	27	0.5	0	0	Chord	2/4	2	2	1/8		1/8	1	250		
15	14	55/2	55/2	0.5	1/8	1/8	Chord	2/4	2	2	1/8		1/8	1	251		
15	14	28	28	0.5	1/4	1/4	Chord	2/4	2	2	1/8		1/8	1	252		
15	14	57/2	57/2	0.5	3/8	3/8	Chord	2/4	2	2	1/8		1/8	1	253		
16	15	29	29	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	254	f	
16	15	117/4	117/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	255		
16	15	59/2	59/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	256		articStaccatoAbove
16	15	119/4	119/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	257		articStaccatoAbove
16	15	30	30	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	258		
16	15	61/2	61/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	259		
16	15	29	29	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	260		
16	15	117/4	117/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	261		
16	15	59/2	59/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	262		
16	15	119/4	119/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	263		
16	15	30	30	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	264		
16	15	121/4	121/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	265		
16	15	61/2	61/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	266		
16	15	123/4	123/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	267		
16	15	29	29	0.5	0	0	Chord	2/4	2	2	1/8		1/8	1	268		
16	15	59/2	59/2	0.5	1/8	1/8	Chord	2/4	2	2	1/8		1/8	1	269		
16	15	30	30	0.5	1/4	1/4	Chord	2/4	2	2	1/8		1/8	1	270		
16	15	61/2	61/2	0.5	3/8	3/8	Chord	2/4	2	2	1/8		1/8	1	271		
17	16	31	31	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	272	p	
17	16	63/2	63/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	273		
17	16	32	32	0.125	1/4	1/4	Chord	2/4	1	1	1/32		1/32	1	274	<	
17	16	257/8	257/8	0.125	9/32	9/32	Chord	2/4	1	1	1/32		1/32	1	275		
17	16	129/4	129/4	0.125	5/16	5/16	Chord	2/4	1	1	1/32		1/32	1	276		
17	16	259/8	259/8	0.125	11/32	11/32	Chord	2/4	1	1	1/32		1/32	1	277		
17	16	65/2	65/2	0.125	3/8	3/8	Chord	2/4	1	1	1/32		1/32	1	278		
17	16	261/8	261/8	0.125	13/32	13/32	Chord	2/4	1	1	1/32		1/32	1	279		
17	16	131/4	131/4	0.125	7/16	7/16	Chord	2/4	1	1	1/32		1/32	1	280		
17	16	263/8	263/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	281		
17	16	31	31	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	282		
17	16	125/4	125/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	283		
17	16	63/2	63/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	284		
17	16	127/4	127/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	285		
17	16	32	32	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	286		
17	16	129/4	129/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	287		
17	16	65/2	65/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	288		
17	16	131/4	131/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	289		
17	16	125/4	125/4	0.75	1/16	1/16	Chord	2/4	2	2	3/16		1/8	3/2	290		
17	16	32	32	0.5	1/4	1/4	Chord	2/4	2	2	1/8		1/8	1	291		
